Movimiento,Fecha Emisión,Cliente,Nombre,Nombre Sucursal,Almacén,Dirección,Observaciones,Delegación,Colonia,Código Postal,Población,Estado,Dirección Completa,Direccion actualizada,Latitud,Longitud,LatLong,Peso,Importe Total,Saldo,Referencia,Observaciones Horarios y/o citas,Ruta,Agente
Pedido 444160,8/4/2026,A04680,TIENDAS LORES,TIENDAS LORES CARRILLO 2,CISAALMA,BLVD MIGUEL ALEMAN NUM 346,PAPELERA-CARLOS A CARRILLO,Carlos A. Carrillo,Papelera,95342,Carlos A. Carrillo,Veracruz,"BLVD MIGUEL ALEMAN NUM 346,Carlos A. Carrillo,Papelera,Carlos A. Carrillo,Veracruz,95342","BLVD MIGUEL ALEMAN NUM 346,Carlos A. Carrillo,Papelera,Carlos A. Carrillo,Veracruz,95342, Veracruz, 95342, MX",18.37339,-95.75104,"18.37339,-95.75104",1648.78,"35955,4",500,,,COSAMALOAPAN,101
Pedido 444161,8/4/2026,A04684,TIENDAS LORES,TIENDAS LORES JAMAPA,CISAALMA,AV. ORIENTE 1 LOTE 7-A MZA 7,JAMAPA,Jamapa,Jamapa,94260,,Veracruz,"AV. ORIENTE 1 LOTE 7-A MZA 7,Jamapa,Jamapa,,Veracruz,94260","AV. ORIENTE 1 LOTE 7-A MZA 7,Jamapa,Jamapa,,Veracruz,94260, Veracruz, 94260, MX",19.04276,-96.24133,"19.04276,-96.24133",526.1,12329,500,,,PIEDRAS NEGRAS,101
Pedido 444162,8/4/2026,A04694,TIENDAS LORES,TIENDAS LORES LERDO DE TEJADA 2,CISAALMA,CARR FEDERAL VERACRUZ NUM 281,CENTRO-LERDO DE TEJADA,Lerdo de Tejada,Lerdo de Tejada Centro,95280,Lerdo de Tejada,Veracruz,"CARR FEDERAL VERACRUZ NUM 281,Lerdo de Tejada,Lerdo de Tejada Centro,Lerdo de Tejada,Veracruz,95280","CARR FEDERAL VERACRUZ NUM 281,Lerdo de Tejada,Lerdo de Tejada Centro,Lerdo de Tejada,Veracruz,95280, Veracruz, 95280, MX",18.62964,-95.51452,"18.62964,-95.51452",695.08,"15865,4",500,,,LOS TUXTLAS,101
Pedido 444163,8/4/2026,A04821,TIENDAS LORES,TIENDAS LORES GABINO,CISAALMA,AV ADOLFO LOPEZ MATEOS LOTE 9,CENTRO-GABINO,Cosamaloapan de Carpio,Gabino Barreda,95429,,Veracruz,"AV ADOLFO LOPEZ MATEOS LOTE 9,Cosamaloapan de Carpio,Gabino Barreda,,Veracruz,95429","AV ADOLFO LOPEZ MATEOS LOTE 9,Cosamaloapan de Carpio,Gabino Barreda,,Veracruz,95429, Veracruz, 95429, MX",18.17708,-96.09139,"18.17708,-96.09139",1660.4,37078,1000,,,COSAMALOAPAN,101
Pedido 444166,8/4/2026,A04840,TIENDAS LORES,TIENDAS LORES RODRIGUEZ CLARA 2,CISAALMA,BOULEVARD SR SALVADOR NAVARRETE GOMEZ NUM 42,BENITO JUAREZ-RODRIGUEZ CLARA,Juan Rodríguez Clara,Benito Juárez,95300,Juan Rodríguez Clara,Veracruz,"BOULEVARD SR SALVADOR NAVARRETE GOMEZ NUM 42,Juan Rodríguez Clara,Benito Juárez,Juan Rodríguez Clara,Veracruz,95300","BOULEVARD SR SALVADOR NAVARRETE GOMEZ NUM 42,Juan Rodríguez Clara,Benito Juárez,Juan Rodríguez Clara,Veracruz,95300, Veracruz, 95300, MX",18.00406,-95.40127,"18.00406,-95.40127",1284.3,29162,1242,,,LOMA,101
Pedido 444169,8/4/2026,A04915,TIENDAS LORES,TIENDAS LORES (PUENTE DE JULA),CISAALMA,CARR. FEDERAL XALAPA-VERACRUZ 6,PUENTE DE JULA-PASO DE OVEJAS,Paso de Ovejas,Puente de Jula,91674,,Veracruz,"CARR. FEDERAL XALAPA-VERACRUZ 6,Paso de Ovejas,Puente de Jula,,Veracruz,91674","CARR. FEDERAL XALAPA-VERACRUZ 6,Paso de Ovejas,Puente de Jula,,Veracruz,91674, Veracruz, 91674, MX",19.20062,-96.34727,"19.20062,-96.34727",702,15379,500,,,XALAPA,101
Pedido 444195,8/4/2026,A04919,MARTHA HUERTA ARROYO (REM),MARTHA HUERTA ARROYO (REM),CISAALMA,AV LAZARO CARDENAS NUM 325 E ZAPATA,AVILA CAMACHO-MPIO XICOTEPEC,Xicotepec,Villa Avila Camacho (La Ceiba),73090,,Puebla,"AV LAZARO CARDENAS NUM 325 E ZAPATA,Xicotepec,Villa Avila Camacho (La Ceiba),,Puebla,73090","AV LAZARO CARDENAS NUM 325 E ZAPATA,Xicotepec,Villa Avila Camacho (La Ceiba),,Puebla,73090, Puebla, 73090, MX",20.38906,-97.87941,"20.38906,-97.87941",380,7920,7920,SE ENTREGA EN AVILA CAMACHO PUEBLA,,VERACRUZ NORTE,172
Pedido 444173,8/4/2026,A05024,TIENDAS LORES,TIENDAS LORES SAN ANDRES 3 (SIHUAPAN),CISAALMA,AV INDEPENDENCIA SN,SIHUAPAN CENTRO-SAN ANDRES TUXTLA,San Andrés Tuxtla,Sihuapan Centro,95810,Sihuapan,Veracruz,"AV INDEPENDENCIA SN,San Andrés Tuxtla,Sihuapan Centro,Sihuapan,Veracruz,95810","AV INDEPENDENCIA SN,San Andrés Tuxtla,Sihuapan Centro,Sihuapan,Veracruz,95810, Veracruz, 95810, MX",18.4334,-95.17653,"18.4334,-95.17653",489,12840,928,,,LOS TUXTLAS,101
Pedido 444174,8/4/2026,A05032,TIENDAS LORES,TIENDAS LORES TEJERIA,CISAALMA,AV 6 NUM 2 LOTE 7,DOS LOMAS-TEJERIA,Veracruz,2 Lomas,91697,,Veracruz,"AV 6 NUM 2 LOTE 7,Veracruz,2 Lomas,,Veracruz,91697","AV 6 NUM 2 LOTE 7,Veracruz,2 Lomas,,Veracruz,91697, Veracruz, 91697, MX",19.16126,-96.21654,"19.16126,-96.21654",319.96,"8031,2",500,,,VERACRUZ PUERTO,101
Pedido 444184,8/4/2026,B00049,JUGOS Y BASICOS DE LA COSTA,JUGOS Y BASICOS DE LA COSTA S.A. DE C.V.,CISAALMA,25A CALLE PONIENTE ENTRE 2A Y AV NORTE S/N,5 DE FEBRERO - TAPACHULA,Tapachula,5 de Febrero,30710,Tapachula de Córdova y Ordóñez,Chiapas,"25A CALLE PONIENTE ENTRE 2A Y AV NORTE S/N,Tapachula,5 de Febrero,Tapachula de Córdova y Ordóñez,Chiapas,30710","25A CALLE PONIENTE ENTRE 2A Y AV NORTE S/N,Tapachula,5 de Febrero,Tapachula de Córdova y Ordóñez,Chiapas,30710, Chiapas, 30710, MX",14.91678,-92.25829,"14.91678,-92.25829",30000,626480,626480,*-2% DESC COMERCIAL. Entregar Miercoles15abr.,CITA MIERCOLES 15/04/2026,CHIAPAS COSTA,154
