Movimiento,Fecha Emisión,Cliente,Nombre,Nombre Sucursal,Almacén,Dirección,Observaciones,Delegación,Colonia,Código Postal,Población,Estado,Dirección Completa,Direccion actualizada,Latitud,Longitud,LatLong,Peso,Importe Total,Saldo,Referencia,Observaciones Horarios y/o citas,Ruta,Agente
Pedido 444098,8/4/2026,A01909,TIENDAS LORES,TIENDAS LORES (TIERRA BLANCA 3),CISAALMA,HEROICO COLEGIO MILITAR ESQUINA CALLE INDEPENDENCIA No 701,ECHEVERRIA - TIERRA BLANCA,Tierra Blanca,Del Carmen,95110,Tierra Blanca,Veracruz,"HEROICO COLEGIO MILITAR ESQUINA CALLE INDEPENDENCIA No 701,Tierra Blanca,Del Carmen,Tierra Blanca,Veracruz,95110","HEROICO COLEGIO MILITAR ESQUINA CALLE INDEPENDENCIA No 701,Tierra Blanca,Del Carmen,Tierra Blanca,Veracruz,95110, Veracruz, 95110, MX",18.45704,-96.36534,"18.45704,-96.36534",1811.86,"41762,2",1000,,,,101
Pedido 444100,8/4/2026,A01955,TIENDAS LORES,TIENDAS LORES (COSAMALOAPAN 2),CISAALMA,AV FRANCISCO I MADERO,CENTRO - COSAMALOAPAN,Cosamaloapan de Carpio,Cosamaloapan de Carpio Centro,95400,Cosamaloapan,Veracruz,"AV FRANCISCO I MADERO,Cosamaloapan de Carpio,Cosamaloapan de Carpio Centro,Cosamaloapan,Veracruz,95400","AV FRANCISCO I MADERO,Cosamaloapan de Carpio,Cosamaloapan de Carpio Centro,Cosamaloapan,Veracruz,95400, Veracruz, 95400, MX",18.36706,-95.7912,"18.36706,-95.7912",3035.78,"66574,4",1000,,,LOS TUXTLAS,101
Pedido 444103,8/4/2026,A01990,TIENDAS LORES,TIENDAS LORES (TLALIXCOYAN),CISAALMA,AV BENITO JUAREZ,CENTRO - TLALIXCOYAN,Tlalixcoyan,El Triunfo (La Providencia),95225,,Veracruz,"AV BENITO JUAREZ,Tlalixcoyan,El Triunfo (La Providencia),,Veracruz,95225","AV BENITO JUAREZ,Tlalixcoyan,El Triunfo (La Providencia),,Veracruz,95225, Veracruz, 95225, MX",18.80181,-96.06228,"18.80181,-96.06228",1277.28,"27873,8",500,,,,101
Pedido 444105,8/4/2026,A02010,TIENDAS LORES,TIENDAS LORES (SANTIAGO TUXTLA),CISAALMA,AV MIGUEL HIDALGO #3,CENTRO - SANTIAGO TUXTLA,Santiago Tuxtla,Santiago Tuxtla Centro,95830,Santiago Tuxtla,Veracruz,"AV MIGUEL HIDALGO #3,Santiago Tuxtla,Santiago Tuxtla Centro,Santiago Tuxtla,Veracruz,95830","AV MIGUEL HIDALGO #3,Santiago Tuxtla,Santiago Tuxtla Centro,Santiago Tuxtla,Veracruz,95830, Veracruz, 95830, MX",18.46553,-95.29532,"18.46553,-95.29532",3212.56,"73824,2",1000,,,LOS TUXTLAS,101
Pedido 444106,8/4/2026,A02014,TIENDAS LORES,TIENDAS LORES ( SAN JOSE CHILTEPEC ),CISAALMA,CALLE JOSE MARIA PINO SUAREZ S/N,CENTRO - SAN JOSE CHILTEPEC,San José Chiltepec,San Jose Chiltepec,68456,,Oaxaca,"CALLE JOSE MARIA PINO SUAREZ S/N,San José Chiltepec,San Jose Chiltepec,,Oaxaca,68456","CALLE JOSE MARIA PINO SUAREZ S/N,San José Chiltepec,San Jose Chiltepec,,Oaxaca,68456, Oaxaca, 68456, MX",17.94651,-96.17239,"17.94651,-96.17239",951.2,20728,686,,,TUXTEPEC,101
Pedido 444073,8/4/2026,A02040,CORPORACION SANCHEZ,BODEGA FENIX,CISAALMA,AV ALUMINIO 207 H A UN COSTADO DE OFICINAS DE SANCHEZ,CD INDUSTRIAL-VILLAHERMOSA,Centro,Ciudad Industrial,86010,Villahermosa,Tabasco,"AV ALUMINIO 207 H A UN COSTADO DE OFICINAS DE SANCHEZ,Centro,Ciudad Industrial,Villahermosa,Tabasco,86010","AV ALUMINIO 207 H A UN COSTADO DE OFICINAS DE SANCHEZ,Centro,Ciudad Industrial,Villahermosa,Tabasco,86010, Tabasco, 86010, MX",18.02941,-92.90456,"18.02941,-92.90456",30000,809150,809150,4502917872-fenix,CITA: MIERCOLES 15/04/2026  9:00 PM,TABASCO,603
Pedido 444128,8/4/2026,A02040,CORPORACION SANCHEZ,BODEGA FENIX,CISAALMA,AV ALUMINIO 207 H A UN COSTADO DE OFICINAS DE SANCHEZ,CD INDUSTRIAL-VILLAHERMOSA,Centro,Ciudad Industrial,86010,Villahermosa,Tabasco,"AV ALUMINIO 207 H A UN COSTADO DE OFICINAS DE SANCHEZ,Centro,Ciudad Industrial,Villahermosa,Tabasco,86010","AV ALUMINIO 207 H A UN COSTADO DE OFICINAS DE SANCHEZ,Centro,Ciudad Industrial,Villahermosa,Tabasco,86010, Tabasco, 86010, MX",18.02941,-92.90456,"18.02941,-92.90456",29841.4,904712,904712,4502917873-fenix,CITA JUEVES 16/04/2026   2:30 PM,TABASCO,603
Pedido 444165,8/4/2026,A02040,CORPORACION SANCHEZ,BODEGA FENIX,CISAALMA,AV ALUMINIO 207 H A UN COSTADO DE OFICINAS DE SANCHEZ,CD INDUSTRIAL-VILLAHERMOSA,Centro,Ciudad Industrial,86010,Villahermosa,Tabasco,"AV ALUMINIO 207 H A UN COSTADO DE OFICINAS DE SANCHEZ,Centro,Ciudad Industrial,Villahermosa,Tabasco,86010","AV ALUMINIO 207 H A UN COSTADO DE OFICINAS DE SANCHEZ,Centro,Ciudad Industrial,Villahermosa,Tabasco,86010, Tabasco, 86010, MX",18.02941,-92.90456,"18.02941,-92.90456",29904,1061100,1061100,4502917874-fenix,CITA VIERNES  17/04/2026  2:30 PM,TABASCO,603
Pedido 444177,8/4/2026,A02040,CORPORACION SANCHEZ,BODEGA FENIX,CISAALMA,AV ALUMINIO 207 H A UN COSTADO DE OFICINAS DE SANCHEZ,CD INDUSTRIAL-VILLAHERMOSA,Centro,Ciudad Industrial,86010,Villahermosa,Tabasco,"AV ALUMINIO 207 H A UN COSTADO DE OFICINAS DE SANCHEZ,Centro,Ciudad Industrial,Villahermosa,Tabasco,86010","AV ALUMINIO 207 H A UN COSTADO DE OFICINAS DE SANCHEZ,Centro,Ciudad Industrial,Villahermosa,Tabasco,86010, Tabasco, 86010, MX",18.02941,-92.90456,"18.02941,-92.90456",30300,800700,800700,4502917875-fenix,CITA: LUNES 20/04/2026   5:30 AM,TABASCO,603
Pedido 444178,8/4/2026,A02040,CORPORACION SANCHEZ,BODEGA FENIX,CISAALMA,AV ALUMINIO 207 H A UN COSTADO DE OFICINAS DE SANCHEZ,CD INDUSTRIAL-VILLAHERMOSA,Centro,Ciudad Industrial,86010,Villahermosa,Tabasco,"AV ALUMINIO 207 H A UN COSTADO DE OFICINAS DE SANCHEZ,Centro,Ciudad Industrial,Villahermosa,Tabasco,86010","AV ALUMINIO 207 H A UN COSTADO DE OFICINAS DE SANCHEZ,Centro,Ciudad Industrial,Villahermosa,Tabasco,86010, Tabasco, 86010, MX",18.02941,-92.90456,"18.02941,-92.90456",30045,769680,769680,4502917876-fenix,CITA DOMINGO 19/04/2026  9:00 PM,TABASCO,603
Pedido 444109,8/4/2026,A02106,TIENDAS LORES,TIENDAS LORES (TIERRA BLANCA 4),CISAALMA,CALLE DEL SOLDADO ENTRE ESQUINA LERDO Y FRANCISCO I MADERO,CENTRO - TIERRA BLANCA,Tierra Blanca,Tierra Blanca Centro,95100,Tierra Blanca,Veracruz,"CALLE DEL SOLDADO ENTRE ESQUINA LERDO Y FRANCISCO I MADERO,Tierra Blanca,Tierra Blanca Centro,Tierra Blanca,Veracruz,95100","CALLE DEL SOLDADO ENTRE ESQUINA LERDO Y FRANCISCO I MADERO,Tierra Blanca,Tierra Blanca Centro,Tierra Blanca,Veracruz,95100, Veracruz, 95100, MX",18.4453,-96.36035,"18.4453,-96.36035",1643.58,"36771,4",500,,,,101
Pedido 444112,8/4/2026,A02270,TIENDAS LORES,TIENDAS LORES (CATEMACO),CISAALMA,CALLE FRANCISCO I MADERO S/N ENTRE 2 DE ABRIL Y ESQ FRANCISCO I MADERO,CENTRO - CATEMACO,Catemaco,Los Carriles,95870,Catemaco,Veracruz,"CALLE FRANCISCO I MADERO S/N ENTRE 2 DE ABRIL Y ESQ FRANCISCO I MADERO,Catemaco,Los Carriles,Catemaco,Veracruz,95870","CALLE FRANCISCO I MADERO S/N ENTRE 2 DE ABRIL Y ESQ FRANCISCO I MADERO,Catemaco,Los Carriles,Catemaco,Veracruz,95870, Veracruz, 95870, MX",18.41824,-95.11231,"18.41824,-95.11231",1099.1,24996,500,,,LOS TUXTLAS,101
Pedido 444066,8/4/2026,A02549,HOGAR SANTA ISABEL PARA ANCIANOS DESAMPARADOS,HOGAR SANTA ISABEL PARA ANCIANOS DESAMPARADOS INSTITUCION DE BENEFICENCIA PRIVADA,CISAALMA,AV COLON ORIENTE No 1922,CENTRO - ORIZABA,Orizaba,Orizaba Centro,94300,Orizaba,Veracruz,"AV COLON ORIENTE No 1922,Orizaba,Orizaba Centro,Orizaba,Veracruz,94300","AV COLON ORIENTE No 1922,Orizaba,Orizaba Centro,Orizaba,Veracruz,94300, Veracruz, 94300, MX",18.85252,-97.09198,"18.85252,-97.09198",49,950,950,*DONATIVO.,,ORIZABA,101
Pedido 444196,8/4/2026,A02598,HU-GAR AUTOSERVICIOS,HUGAR LA RIVERA,CISAALMA,CALLE LA RIVERA No 100,LA RIVERA - XICOTEPEC DE JUAREZ,Xicotepec,La Rivera,73080,Xicotepec,Puebla,"CALLE LA RIVERA No 100,Xicotepec,La Rivera,Xicotepec,Puebla,73080","CALLE LA RIVERA No 100,Xicotepec,La Rivera,Xicotepec,Puebla,73080, Puebla, 73080, MX",20.26611,-97.96223,"20.26611,-97.96223",433.8,9498,9498,,,VERACRUZ NORTE,172
Pedido 444197,8/4/2026,A02598,HU-GAR AUTOSERVICIOS,HUGAR CENTRO,CISAALMA,CALLE VICENTE SUAREZ No 107,CENTRO - XICOTEPEC DE JUAREZ,Xicotepec,Duraznotla,73080,Xicotepec,Puebla,"CALLE VICENTE SUAREZ No 107,Xicotepec,Duraznotla,Xicotepec,Puebla,73080","CALLE VICENTE SUAREZ No 107,Xicotepec,Duraznotla,Xicotepec,Puebla,73080, Puebla, 73080, MX",20.27817416,-97.95906901,"20.27817416,-97.95906901",150,2900,2900,,,VERACRUZ NORTE,172
Pedido 444198,8/4/2026,A02598,HU-GAR AUTOSERVICIOS,HU GAR AUTOSERVICIOS LA CEIBA,CISAALMA,EMILIANO ZAPATA 9,CENTRO-VILLA AVILA CAMACHO,Xicotepec,Villa Avila Camacho (La Ceiba),73090,,Puebla,"EMILIANO ZAPATA 9,Xicotepec,Villa Avila Camacho (La Ceiba),,Puebla,73090","EMILIANO ZAPATA 9,Xicotepec,Villa Avila Camacho (La Ceiba),,Puebla,73090, Puebla, 73090, MX",20.38683,-97.88077,"20.38683,-97.88077",223,4640,4640,,,VERACRUZ NORTE,172
Pedido 444199,8/4/2026,A02598,HU-GAR AUTOSERVICIOS,HUGAR NUEVA,CISAALMA,CALLE PALMA SOLA 13,CENTRO-VILLA LAZARO CARDENAS,Venustiano Carranza,Villa Lázaro Cárdenas (La Uno),73049,,Puebla,"CALLE PALMA SOLA 13,Venustiano Carranza,Villa Lázaro Cárdenas (La Uno),,Puebla,73049","CALLE PALMA SOLA 13,Venustiano Carranza,Villa Lázaro Cárdenas (La Uno),,Puebla,73049, Puebla, 73049, MX",20.46283,-97.70344,"20.46283,-97.70344",139,2880,2880,ENTREGAR VILLA LAZARO CARDENAS PUEBLA,,VERACRUZ NORTE,172
Pedido 444052,8/4/2026,A02607,OMAR CRUZ JULIAN,OMAR CRUZ JULIAN,CISAALMA,6TA CALLE OTE ESQUINA CON 5TA PRIV SUR No 30,CENTRO - TAPACHULA,Tapachula,Tapachula Centro,30700,Tapachula de Córdova y Ordóñez,Chiapas,"6TA CALLE OTE ESQUINA CON 5TA PRIV SUR No 30,Tapachula,Tapachula Centro,Tapachula de Córdova y Ordóñez,Chiapas,30700","6TA CALLE OTE ESQUINA CON 5TA PRIV SUR No 30,Tapachula,Tapachula Centro,Tapachula de Córdova y Ordóñez,Chiapas,30700, Chiapas, 30700, MX",14.90265,-92.26222,"14.90265,-92.26222",1645.91,"48121,06","48121,06",,,CHIAPAS  COSTA,131
Pedido 444053,8/4/2026,A02607,OMAR CRUZ JULIAN,OMAR CRUZ JULIAN,CISAALMA,6TA CALLE OTE ESQUINA CON 5TA PRIV SUR No 30,CENTRO - TAPACHULA,Tapachula,Tapachula Centro,30700,Tapachula de Córdova y Ordóñez,Chiapas,"6TA CALLE OTE ESQUINA CON 5TA PRIV SUR No 30,Tapachula,Tapachula Centro,Tapachula de Córdova y Ordóñez,Chiapas,30700","6TA CALLE OTE ESQUINA CON 5TA PRIV SUR No 30,Tapachula,Tapachula Centro,Tapachula de Córdova y Ordóñez,Chiapas,30700, Chiapas, 30700, MX",14.90265,-92.26222,"14.90265,-92.26222",122.4,7704,7704,,,CHIAPAS  COSTA,131
Pedido 444051,8/4/2026,A02626,SUPER ABARROTES CASTILLEJOS,ABARROTES CASTILLEJOS,CISAALMA,AV CENTRAL SUR No 26 B,CENTRO - SAN FERNANDO,San Fernando,Paraíso,29120,,Chiapas,"AV CENTRAL SUR No 26 B,San Fernando,Paraíso,,Chiapas,29120","AV CENTRAL SUR No 26 B,San Fernando,Paraíso,,Chiapas,29120, Chiapas, 29120, MX",16.87036,-93.2068,"16.87036,-93.2068",4627.2,77665,77665,,RECOBO DE 10:00 AM A4:00 PM,CHIAPAS CENTRO,249
Pedido 444116,8/4/2026,A02870,TIENDAS LORES,TIENDAS LORES (EMILIO CARRANZA),CISAALMA,5 DE MAYO No 58 ENTRE MIGUEL HIDALGO Y HOMBRES ILUSTRES,CENTRO - VEGA DE ALATORRE,Vega de Alatorre,Vega de Alatorre,93960,,Veracruz,"5 DE MAYO No 58 ENTRE MIGUEL HIDALGO Y HOMBRES ILUSTRES,Vega de Alatorre,Vega de Alatorre,,Veracruz,93960","5 DE MAYO No 58 ENTRE MIGUEL HIDALGO Y HOMBRES ILUSTRES,Vega de Alatorre,Vega de Alatorre,,Veracruz,93960, Veracruz, 93960, MX",19.96856,-96.61109,"19.96856,-96.61109",212.8,5521,500,,,VERACRUZ PUERTO,101
Pedido 444120,8/4/2026,A03189,TIENDAS LORES,TIENDAS LORES (LOS NARANJOS),CISAALMA,CALLE SALVADOR DIAZ MIRON S/N,CENTRO - TRES VALLES,Tres Valles,Los Naranjos,95360,,Veracruz,"CALLE SALVADOR DIAZ MIRON S/N,Tres Valles,Los Naranjos,,Veracruz,95360","CALLE SALVADOR DIAZ MIRON S/N,Tres Valles,Los Naranjos,,Veracruz,95360, Veracruz, 95360, MX",18.35439,-96.1665,"18.35439,-96.1665",1050.8,22721,186,,,TIERRA BLANCA,101
Pedido 444190,8/4/2026,A03195,GILBERTO SUAREZ ISLAS,GILBERTO SUAREZ ISLAS,CISAALMA,CALLE HERMANOS SERDAN No 3,CENTRO - VENUSTIANO CARRANZA,Venustiano Carranza,Venustiano Carranza,73040,,Puebla,"CALLE HERMANOS SERDAN No 3,Venustiano Carranza,Venustiano Carranza,,Puebla,73040","CALLE HERMANOS SERDAN No 3,Venustiano Carranza,Venustiano Carranza,,Puebla,73040, Puebla, 73040, MX",20.50541,-97.66883,"20.50541,-97.66883",1250,22000,22000,ENTREGAR EN VILLA LAZARO CARDENAS PUEBLA N 74 CENT,,,172
Pedido 444191,8/4/2026,A03195,GILBERTO SUAREZ ISLAS,GILBERTO SUAREZ ISLAS,CISAALMA,CALLE HERMANOS SERDAN No 3,CENTRO - VENUSTIANO CARRANZA,Venustiano Carranza,Venustiano Carranza,73040,,Puebla,"CALLE HERMANOS SERDAN No 3,Venustiano Carranza,Venustiano Carranza,,Puebla,73040","CALLE HERMANOS SERDAN No 3,Venustiano Carranza,Venustiano Carranza,,Puebla,73040, Puebla, 73040, MX",20.50541,-97.66883,"20.50541,-97.66883",3750,66000,66000,ENTREGAR EN VENUSTIANO CARRANZA PUEBLA,,,172
Pedido 444122,8/4/2026,A03314,TIENDAS LORES,TIENDAS LORES (CARLOS A CARRILLO),CISAALMA,CALLE ARGENTINA S/N,CENTRO - CARLOS A CARILLO,Carlos A. Carrillo,Carlos A Carrillo Centro,95330,Carlos A. Carrillo,Veracruz,"CALLE ARGENTINA S/N,Carlos A. Carrillo,Carlos A Carrillo Centro,Carlos A. Carrillo,Veracruz,95330","CALLE ARGENTINA S/N,Carlos A. Carrillo,Carlos A Carrillo Centro,Carlos A. Carrillo,Veracruz,95330, Veracruz, 95330, MX",18.37373,-95.74841,"18.37373,-95.74841",1536.18,"34200,4",500,,,COSAMALOAPAN,101
Pedido 444121,8/4/2026,A03315,TIENDAS LORES,TIENDAS LORES (ALTO LUCERO),CISAALMA,CALLE ANTONIO SOSA No 35,CENTRO - ALTO LUCERO DE GUTIERREZ BARRIOS,Alto Lucero de Gutiérrez Barrios,Rancho Nuevo,91477,,Veracruz,"CALLE ANTONIO SOSA No 35,Alto Lucero de Gutiérrez Barrios,Rancho Nuevo,,Veracruz,91477","CALLE ANTONIO SOSA No 35,Alto Lucero de Gutiérrez Barrios,Rancho Nuevo,,Veracruz,91477, Veracruz, 91477, MX",19.77138,-96.43203,"19.77138,-96.43203",381,9262,500,,,VERACRUZ PUERTO,101
Pedido 444126,8/4/2026,A03406,TIENDAS LORES,TIENDAS LORES (RINCONADA),CISAALMA,AV INDEPENDENCIA No 236,CENTRO - RINCONADA,Emiliano Zapata,El Tepeyac,91634,,Veracruz,"AV INDEPENDENCIA No 236,Emiliano Zapata,El Tepeyac,,Veracruz,91634","AV INDEPENDENCIA No 236,Emiliano Zapata,El Tepeyac,,Veracruz,91634, Veracruz, 91634, MX",19.35323,-96.56418,"19.35323,-96.56418",944.2,20891,500,,,VERACRUZ PUERTO,101
Pedido 444127,8/4/2026,A03479,TIENDAS LORES,TIENDAS LORES (TUXTEPEC JARDINES),CISAALMA,CARRETERA FEDERAL A OJITLAN 1,JARDINES DEL ARROYO - SAN JUAN BAUTISTA TUXTEPEC,San Juan Bautista Tuxtepec,Jardines del Arroyo,68340,San Juan Bautista Tuxtepec,Oaxaca,"CARRETERA FEDERAL A OJITLAN 1,San Juan Bautista Tuxtepec,Jardines del Arroyo,San Juan Bautista Tuxtepec,Oaxaca,68340","CARRETERA FEDERAL A OJITLAN 1,San Juan Bautista Tuxtepec,Jardines del Arroyo,San Juan Bautista Tuxtepec,Oaxaca,68340, Oaxaca, 68340, MX",18.08623,-96.14966,"18.08623,-96.14966",2348.3,52183,1242,,,TUXTEPEC,101
Pedido 444129,8/4/2026,A03623,TIENDAS LORES,TIENDAS LORES (HACIENDA REAL),CISAALMA,BOULEVARD HACIENDA REAL LOTE 3 MZA 67,HACIENDA REAL - SAN JUAN BAUTISTA TUXTEPEC,San Juan Bautista Tuxtepec,5 de Febrero,68375,San Juan Bautista Tuxtepec,Oaxaca,"BOULEVARD HACIENDA REAL LOTE 3 MZA 67,San Juan Bautista Tuxtepec,5 de Febrero,San Juan Bautista Tuxtepec,Oaxaca,68375","BOULEVARD HACIENDA REAL LOTE 3 MZA 67,San Juan Bautista Tuxtepec,5 de Febrero,San Juan Bautista Tuxtepec,Oaxaca,68375, Oaxaca, 68375, MX",18.11073,-96.14162,"18.11073,-96.14162",792.4,17916,500,,,TUXTEPEC,101
Pedido 444132,8/4/2026,A03702,TIENDAS LORES,TIENDAS LORES (ACATLAN DE PEREZ FIGUEROA),CISAALMA,CALLE FRANCISCO JAVIER MINA 156,CENTRO - ACATLAN DE PEREZ FIGUEROA,Acatlán de Pérez Figueroa,Luces de la Revolución,68420,,Oaxaca,"CALLE FRANCISCO JAVIER MINA 156,Acatlán de Pérez Figueroa,Luces de la Revolución,,Oaxaca,68420","CALLE FRANCISCO JAVIER MINA 156,Acatlán de Pérez Figueroa,Luces de la Revolución,,Oaxaca,68420, Oaxaca, 68420, MX",18.5377,-96.60666,"18.5377,-96.60666",1197.28,"27767,4",500,,,,101
Pedido 444069,8/4/2026,A03715,RESIDENCIA EMAUS,RESIDENCIA EMAUS,CISAALMA,CALZADA EMAUS 4609,PUEBLO QUIETO CORDOBA,Córdoba,Pueblo Quieto,94557,Córdoba,Veracruz,"CALZADA EMAUS 4609,Córdoba,Pueblo Quieto,Córdoba,Veracruz,94557","CALZADA EMAUS 4609,Córdoba,Pueblo Quieto,Córdoba,Veracruz,94557, Veracruz, 94557, MX",18.89522,-96.96335,"18.89522,-96.96335",49,915,915,*DONATIVO.,,,101
Pedido 444133,8/4/2026,A03792,TIENDAS LORES,TIENDAS LORES (OMEALCA),CISAALMA,"AVENIDA ZARAGOZA ZONA 06, REGION 01 MZA 021 LOTE 026",CENTRO - OMEALCA,Omealca,Las Palmas,94900,,Veracruz,"AVENIDA ZARAGOZA ZONA 06, REGION 01 MZA 021 LOTE 026,Omealca,Las Palmas,,Veracruz,94900","AVENIDA ZARAGOZA ZONA 06, REGION 01 MZA 021 LOTE 026,Omealca,Las Palmas,,Veracruz,94900, Veracruz, 94900, MX",18.8163,-97.27144,"18.8163,-97.27144",214.6,5313,500,,,,101
Pedido 444200,8/4/2026,A03969,ECONOSUPER DEL CENTRO,ECONO SUPER DEL CENTRO,CISAALMA,CALLE REFORMA No 113,CENTRO - XICOTEPEC DE JUAREZ,Xicotepec,Duraznotla,73080,Xicotepec,Puebla,"CALLE REFORMA No 113,Xicotepec,Duraznotla,Xicotepec,Puebla,73080","CALLE REFORMA No 113,Xicotepec,Duraznotla,Xicotepec,Puebla,73080, Puebla, 73080, MX",20.2752,-97.9571,"20.2752,-97.9571",3195,70491,70491,,,,172
Pedido 444140,8/4/2026,A04072,TIENDAS LORES,TIENDAS LORES (ANTON LIZARDO),CISAALMA,CALLE 5 DE MAYO No 3-B,CENTRO - ANTON LIZARDO,Alvarado,Instituto Oceanográfico Del Golfo y Mar Caribe,95269,,Veracruz,"CALLE 5 DE MAYO No 3-B,Alvarado,Instituto Oceanográfico Del Golfo y Mar Caribe,,Veracruz,95269","CALLE 5 DE MAYO No 3-B,Alvarado,Instituto Oceanográfico Del Golfo y Mar Caribe,,Veracruz,95269, Veracruz, 95269, MX",19.06085,-95.98795,"19.06085,-95.98795",242.36,"6944,2",500,,,,101
Pedido 444142,8/4/2026,A04220,TIENDAS LORES,TIENDAS LORES (TLACOTALPAN),CISAALMA,AV VENUSTIANO CARRANZA ESQ CALLE MIGUEL NEGRETE No 21,TLACOTALPAN - VERACRUZ,Tlacotalpan,Tlacotalpan,95460,,Veracruz,"AV VENUSTIANO CARRANZA ESQ CALLE MIGUEL NEGRETE No 21,Tlacotalpan,Tlacotalpan,,Veracruz,95460","AV VENUSTIANO CARRANZA ESQ CALLE MIGUEL NEGRETE No 21,Tlacotalpan,Tlacotalpan,,Veracruz,95460, Veracruz, 95460, MX",18.61138,-95.65796,"18.61138,-95.65796",2348.8,51511,500,,,,101
Pedido 444143,8/4/2026,A04264,TIENDAS LORES,TIENDAS LORES (TRES VALLES SEGURO SOCIAL),CISAALMA,BLVD ALVARO OBREGON,3 VALLES CENTRO - TRES VALLES,Tres Valles,3 Valles Centro,95300,Tres Valles,Veracruz,"BLVD ALVARO OBREGON,Tres Valles,3 Valles Centro,Tres Valles,Veracruz,95300","BLVD ALVARO OBREGON,Tres Valles,3 Valles Centro,Tres Valles,Veracruz,95300, Veracruz, 95300, MX",18.23872,-96.13442,"18.23872,-96.13442",2305.38,"51321,8",1428,,,TIERRA BLANCA,101
Pedido 444144,8/4/2026,A04299,TIENDAS LORES,TIENDAS LORES (OTATITLAN),CISAALMA,CALLE SALVADOR DIAZ MIRON NUM 4,CENTRO - VERACRUZ,Otatitlán,Otatitlan,95500,,Veracruz,"CALLE SALVADOR DIAZ MIRON NUM 4,Otatitlán,Otatitlan,,Veracruz,95500","CALLE SALVADOR DIAZ MIRON NUM 4,Otatitlán,Otatitlan,,Veracruz,95500, Veracruz, 95500, MX",18.17686,-96.03559,"18.17686,-96.03559",519,12214,500,,,,101
Pedido 444145,8/4/2026,A04337,TIENDAS LORES,TIENDAS LORES (OASIS),CISAALMA,CALLE PASEO OASIS No 485,OASIS - VERACRUZ,Veracruz,Oasis,91808,Veracruz,Veracruz,"CALLE PASEO OASIS No 485,Veracruz,Oasis,Veracruz,Veracruz,91808","CALLE PASEO OASIS No 485,Veracruz,Oasis,Veracruz,Veracruz,91808, Veracruz, 91808, MX",19.20205,-96.21952,"19.20205,-96.21952",319.78,"8114,8",500,,,VERACRUZ NORTE,101
