Timestamp,Proveedor,Estado,Detalle_Error
2026-04-14 21:58:27,GOOGLE_CLOUD,FALLO_CAPACIDAD,MODEL_CAPACITY_EXHAUSTED
2026-04-14 21:58:30,GROQ_ARSENAL,EXITO_FAILOVER,Resiliencia Activa
