Direccion,Latitud,Longitud,Exactitud,Score,Riesgo,Manual
"CARRETERA RIO SECO-SANTA ROSA, Tabasco, MX",17.96856,-92.97442,No confiable,NaN,Bajo,NO
"CALLE ARGENTINA S/N, Veracruz, MX",19.17565,-96.16654,Alta,280,Bajo,NO
"CALLE ANTONIO SOSA No 35, Veracruz, MX",19.17365,-96.1231,Exacta,215,Bajo,NO
"CALLE REVOLUCION No 108, Veracruz, MX",19.13749,-96.14318,Exacta,1652,Bajo,NO
"AV INDEPENDENCIA No 236, Veracruz, MX",19.20681,-96.14345,Exacta,1652,Bajo,NO
"CARRETERA 195 TAPILULA PICHUCALCO, Chiapas, MX",17.50607,-93.12575,Alta,281,Bajo,NO
"CARRETERA FEDERAL A OJITLAN 1, Oaxaca, MX",18.08689,-96.16155,Exacta,1636,Bajo,NO
"CALLE MAXIMINO AVILA CAMACHO 101, Puebla, MX",19.07044,-98.14133,Exacta,1652,Bajo,NO
"BOULEVARD HACIENDA REAL LOTE 3 MZA 67, Oaxaca, MX",18.11073,-96.14162,Exacta,1652,Bajo,NO
"CALLE FRANCISCO JAVIER MINA 156, Oaxaca, MX",17.05724,-96.72603,Exacta,1652,Bajo,NO
"CALZADA EMAUS 4609, Veracruz, MX",18.89522,-96.96335,Exacta,208,Bajo,NO
"AVENIDA ZARAGOZA ZONA 06, REGION 01 MZA 021 LOTE 026, Veracruz, MX",19.19658,-96.13422,No confiable,NaN,Bajo,NO
"AVENIDA ORIENTE 9 #476 ENTRE NORTE 8 Y NORTE 10, Veracruz, MX",18.85332,-97.10214,Exacta,1645,Bajo,NO
"CALLE 12 DE OCTUBRE No 42, Puebla, MX",19.07196,-98.13647,Exacta,1652,Bajo,NO
"CALLE 12 DE OCTUBRE No 42, Puebla, MX",19.07196,-98.13647,Exacta,1652,Bajo,NO
"CALLE REFORMA No 113, Puebla, MX",19.08821,-98.19967,Exacta,1652,Bajo,NO
"CALLE REFORMA No 113, Puebla, MX",19.08821,-98.19967,Exacta,1652,Bajo,NO
"CALLE 5 DE MAYO No 3-B, Veracruz, MX",18.83596,-97.15495,Exacta,1650,Bajo,NO
"CARR. TEAPA PICHUCALCO KM. 2 SN, Tabasco, MX",17.50905,-93.11751,Baja,59,Alto,NO
"AV VENUSTIANO CARRANZA ESQ CALLE MIGUEL NEGRETE No 21, Veracruz, MX",19.43279,-99.11707,Exacta,1636,Bajo,NO
"BLVD ALVARO OBREGON, Veracruz, MX",19.38127,-99.22303,Alta,270,Bajo,NO
"CALLE SALVADOR DIAZ MIRON NUM 4, Veracruz, MX",20.55361,-97.44513,Exacta,1652,Bajo,NO
"CALLE CEDRO POR EL LETRERO DEL SAPITO No 814, Tabasco, MX",,,No georreferenciada,0,Critico,NO
"CALLE PASEO OASIS No 485, Veracruz, MX",19.2023,-96.22114,Exacta,1638,Bajo,NO
"CARRETERA CARDENAS COATZACOALCOS KM CP8, Tabasco, MX",18.09233,-94.39215,No confiable,NaN,Bajo,NO
"CALLE 4 No. 103 C, Veracruz, MX",19.18602,-96.1501,Exacta,1652,Bajo,NO
"CALLE 4 No. 103 C, Veracruz, MX",19.18602,-96.1501,Exacta,1652,Bajo,NO
"AV PROLONGACION INDEPENDENCIA S/N ESQ CALLE 3, Oaxaca, MX",17.11615,-96.76388,Exacta,1637,Bajo,NO
"CALLE 20 SUR NUM 4103, Puebla, MX",19.02116,-98.19518,Exacta,1652,Bajo,NO
"AV FLORES MAGON S/N, Veracruz, MX",19.00799,-97.02871,Alta,280,Bajo,NO
"CALLE CAMINO VIEJO A TLAXCALA NUM 209, Puebla, MX",19.4243,-98.14577,Exacta,215,Bajo,NO
"20 DE NOVIEMBRE 312, Veracruz, MX",20.54217,-97.45095,Exacta,227,Bajo,NO
"CALLE LA FLORESTA INT CENTRAL D BOD 6, Chiapas, MX",15.72586,-93.30007,Baja,62,Alto,NO
"CALLE JOSEFA ORTIZ DE DOMINGUEZ NUM 122, Veracruz, MX",19.97079,-97.20487,Exacta,1652,Bajo,NO
"CALLE PORFIRIO DIAZ NUM 502, Veracruz, MX",18.37149,-95.79304,Exacta,1652,Bajo,NO
"CALLE PROLONGACION LOS LIBRES ESQ. CALLE ORO NUM 535, Veracruz, MX",32.38334,-117.06772,Exacta,194,Bajo,NO
"CALLE EMILIANO ZAPATA NUM 530, Veracruz, MX",19.19416,-96.13361,Exacta,1652,Bajo,NO
"CALLE SALVADOR AZUELA NUM 210, Michoacán, MX",19.71274,-101.16725,Exacta,1652,Bajo,NO
"AV. REVOLUCION NUM 614, Veracruz, MX",18.14951,-94.42164,Exacta,1652,Bajo,NO
"CALLE MIGUEL ALEMAN 535, Veracruz, MX",18.72554,-95.98696,Exacta,1652,Bajo,NO
"AV RAUL SANDOVAL 23, Veracruz, MX",19.17344,-96.12841,No confiable,NaN,Bajo,NO
"NAVE 2 BODEGA 9 CENTRAL DE AB, Tabasco, MX",17.98971,-93.38626,Alta,264,Bajo,NO
"BLVD MIGUEL ALEMAN NUM 346, Veracruz, MX",18.37339,-95.75104,Exacta,1652,Bajo,NO
"AV. ORIENTE 1 LOTE 7-A MZA 7, Veracruz, MX",18.84711,-97.10381,Exacta,227,Bajo,NO
"CARR FEDERAL VERACRUZ NUM 281, Veracruz, MX",19.20142,-96.32528,Alta,291,Bajo,NO
"CALLE RIO ORINOCO 410, Nuevo León, MX",25.65778,-100.35834,Exacta,225,Bajo,NO
"CALLE ORIENTE 27 NUM 573, Veracruz, MX",19.16525,-96.14466,No confiable,NaN,Bajo,NO
"AV ADOLFO LOPEZ MATEOS LOTE 9, Veracruz, MX",19.16098,-96.14128,Exacta,1652,Bajo,NO
"BOULEVARD SR SALVADOR NAVARRETE GOMEZ NUM 42, Veracruz, MX",18.00406,-95.40127,No confiable,NaN,Bajo,NO
"JUAREZ 102 MISANTLA, Veracruz, MX",19.92878,-96.85403,Exacta,254,Bajo,NO
"CARR. FEDERAL XALAPA-VERACRUZ 6, Veracruz, MX",19.55045,-96.9154,Exacta,263,Bajo,NO
"AV LAZARO CARDENAS NUM 325 E ZAPATA, Puebla, MX",20.6408,-100.99818,Exacta,208,Bajo,NO
"CALLE LUIS DE LA ROSA OTEIZA 10, Zacatecas, MX",21.96671,-101.58603,Exacta,1641,Bajo,NO
"14 EXT 315 INT 5, Veracruz, MX",19.20366,-96.18297,Exacta,195,Bajo,NO
"AV INDEPENDENCIA SN, Veracruz, MX",19.19865,-96.13771,Alta,280,Bajo,NO
"Avenida 5ª Norte No.524, Chiapas, MX",16.75399,-93.18554,Exacta,219,Bajo,NO
"Blvd. Industria Nacional Mexicana #202, Indeco Ciudad Industrial, Tabasco, MX",18.02344,-92.90708,Exacta,1925,Bajo,NO
"Paseo Usumacinta No. 111 Col. 1ro de Mayo C.P.86190, Tabasco, MX",17.9777,-92.93072,No confiable,NaN,Bajo,NO
"Sebastián Lerdo de Tejada 16, Veracruz, MX",17.98307,-94.54432,Exacta,227,Bajo,NO
"10 A, Ave. Norte #12, MX",21.16217,-100.93704,Exacta,1166,Bajo,NO
"AV 6 NUM 2 LOTE 7, Veracruz, MX",18.89729,-96.97249,Exacta,223,Bajo,NO
"MISION DE LA SOLEDAD, Oaxaca, MX",17.0593,-96.73904,Alta,273,Bajo,NO
"A CANABEL 1RA SECC SN, Tabasco, MX",17.9865,-92.99114,Alta,90,Bajo,NO
"CALLE BENITO JUAREZ 203, Veracruz, MX",19.16226,-96.14423,Exacta,1652,Bajo,NO
"LIBRAMIENTO SUR CALLE MARIO LOPEZ PORTILLO, Chiapas, MX",17.044,-93.50214,Baja,58,Alto,NO
"HELIO S N 2A ETAPA CD INDUSTRIAL, Tabasco, MX",30.73099,-112.17351,Exacta,1620,Bajo,NO
"HELIO S N 2A ETAPA CD INDUSTRIAL, Tabasco, MX",30.73099,-112.17351,Exacta,1620,Bajo,NO
"CIRCUITO INTERIOR ORIENTE 13 CG, Puebla, MX",19.08992,-98.18663,Exacta,1648,Bajo,NO
"CARRTERA VILLA DEL MAR KM 15, Chiapas, MX",19.25995,-103.74533,No confiable,NaN,Bajo,NO
"25A CALLE PONIENTE ENTRE 2A Y AV NORTE S/N, Chiapas, MX",16.38225,-93.85895,Alta,257,Bajo,NO
"MORELOS, Oaxaca, MX",17.05996,-96.71096,Alta,100,Bajo,NO
"BLVD INSTITUTOS TECNOLOGICOS, Veracruz, MX",18.01339,-94.54673,Alta,266,Bajo,NO
"BLVD NTE H 5 DE MAYO # 2318, Puebla, MX",19.06472,-98.11548,Exacta,206,Bajo,NO
"BLVD FRANCISCO TRUJILLO GURRIA # 16, Tabasco, MX",18.39107,-93.21647,Exacta,1644,Bajo,NO
"BLVD BELISARIO DOMINGUEZ # 4451, Chiapas, MX",16.75417,-93.13534,Exacta,226,Bajo,NO
"AV CENTRAL PONIENTE # 677, Chiapas, MX",16.75439,-93.1212,Exacta,1652,Bajo,NO
"CALZADA AL SUMIDERO # 2330 MZ 75, Chiapas, MX",16.77466,-93.10208,Exacta,1652,Bajo,NO
"PROL AV UNIVERSIDAD No 634, Tabasco, MX",18.01556,-92.91463,Exacta,1641,Bajo,NO
"PROLONGACION 14 ORIENTE # 5219, Puebla, MX",19.04299,-98.15629,Exacta,1649,Bajo,NO
"AV PATRICIO TRUEBA # 203, Campeche, MX",19.82577,-90.53407,Exacta,226,Bajo,NO
"CARRETERA AL SANTO No.420, Jalisco, MX",21.51665,-102.24508,Exacta,207,Bajo,NO
"CALLE REFORMA # S/N, Tabasco, MX",21.91702,-102.90587,Alta,280,Bajo,NO
"AV BUTANO No 16 CD INDUSTRIAL, Tabasco, MX",23.17662,-102.87292,Exacta,202,Bajo,NO
"AV BUTANO No 16 CD INDUSTRIAL, Tabasco, MX",23.17662,-102.87292,Exacta,202,Bajo,NO
"NEGRETE ORIENTE S/N, Chiapas, MX",17.50861,-91.97787,Alta,260,Bajo,NO
"AV GREGORIA MENDEZ S/N, Tabasco, MX",17.55137,-92.95196,Alta,272,Bajo,NO
"AV MARIA LAVALLE, Campeche, MX",19.85261,-90.53091,Alta,277,Bajo,NO
"BLVD SALOMON GONZALEZ BLANCO, Chiapas, MX",16.75677,-93.08263,Alta,279,Bajo,NO
"CARR MONTERREY-LAREDO KM 23400, Nuevo León, MX",25.71078,-100.34708,Alta,281,Bajo,NO
"CALZADA AEROPUERTO #9996, Sinaloa, MX",24.77472,-107.46386,Alta,271,Bajo,NO
"CARR TRANS MINA ACAYUCAN KM 26+900, Veracruz, MX",17.94797,-94.91096,Exacta,229,Bajo,NO
"CARR. VILLAHERMOSA-CARDENAS KM.145, Tabasco, MX",17.99864,-92.90197,Media,69,Moderado,NO
"CARR TRANSISMICA 10, Oaxaca, MX",16.18709,-95.20076,Exacta,226,Bajo,NO
"CARR ANTIGUA CAMPECHE MERIDA 1, Campeche, MX",19.84961,-90.49278,Exacta,1652,Bajo,NO
"CALLE 5A PONIENTE NORTE NUM 2150, Chiapas, MX",16.63353,-93.3338,Alta,267,Bajo,NO
"CARR MERIDA-CANCUN KM 14.5, Yucatán, MX",20.89646,-89.39294,Alta,268,Bajo,NO
"CARR MERIDA-CANCUN KM 14.5, Yucatán, MX",20.89646,-89.39294,Alta,268,Bajo,NO
"CALLE 65 NUM 102, Yucatán, MX",20.96819,-89.5709,Exacta,1652,Bajo,NO
"CALLE 70 NUM 661, Yucatán, MX",20.99547,-89.69784,Exacta,1652,Bajo,NO
"CARR. PANAMERICANA KM 27.5, Chihuahua, MX",28.74752,-106.16269,Alta,269,Bajo,NO
"CARR EL SALTO 420, Jalisco, MX",20.57202,-103.18791,Exacta,1652,Bajo,NO
"CALZADA GRAL. LAZARO CARDENAS 3800, Baja California, MX",32.48502,-116.86794,Exacta,220,Bajo,NO
"AV INSURGENTES NTE No 131, Ciudad de México, MX",19.444,-99.15318,Exacta,1652,Bajo,NO
"CARRETERA FEDERAL VILLAHERMOSA - FRONTERA KM 18, Tabasco, MX",18.53238,-92.63749,Exacta,241,Bajo,NO
"CALLE LEONA VICTORIA 240, Tabasco, MX",23.76459,-99.15004,Exacta,210,Bajo,NO
"CAMINO A LOS BORREGOS 785, Nuevo León, MX",25.57142,-100.23813,Exacta,199,Bajo,NO
"AVENIDA OCTAVA SUR ORIENTE, Chiapas, MX",16.90136,-92.09246,Alta,258,Bajo,NO
"104 PONIENTE NO. 1702-A, Puebla, MX",19.08916,-98.19182,Exacta,224,Bajo,NO
"ALEJANDRO I MENDOZA 1, Veracruz, MX",18.06958,-94.41139,Exacta,227,Bajo,NO
"ALEJANDRO I MENDOZA 1, Veracruz, MX",18.06958,-94.41139,Exacta,227,Bajo,NO
"ALEJANDRO I MENDOZA 1, Veracruz, MX",18.06958,-94.41139,Exacta,227,Bajo,NO
"ZARAGOZA, Oaxaca, MX",17.03279,-96.69815,Alta,280,Bajo,NO
"ZARAGOZA, Oaxaca, MX",17.03279,-96.69815,Alta,280,Bajo,NO
"CARRETERA VILLAHERMOSA-CARDENAS KM., Tabasco, MX",17.99864,-92.90197,Media,66,Moderado,NO
"CARRETERA VILLAHERMOSA-CARDENAS KM., Tabasco, MX",17.99864,-92.90197,Media,66,Moderado,NO
"MIGUEL HIDALGO 3, Puebla, MX",18.99398,-98.25006,Exacta,227,Bajo,NO
