Direccion,Latitud,Longitud,Exactitud,Score,Riesgo,Manual
"CARR FEDERAL FORTIN HUATUSCO 1617, Veracruz, MX",19.0443,-98.12607,Exacta,194,Bajo,NO
"CARR FORTIN-HUATUSCO 830 A, Veracruz, MX",19.15237,-96.96035,Alta,280,Bajo,NO
"AV 21 FRACCIONAMIENTO JARDINES SAN DIMAS 1608, Veracruz, MX",19.52587,-96.88767,No confiable,NaN,Bajo,NO
"5 ORIENTE 329, Puebla, MX",19.03495,-98.134,Exacta,227,Bajo,NO
"AV 2 No 1269, Oaxaca, MX",18.24238,-96.40012,Exacta,1652,Bajo,NO
"M LERDO 384 ENTRE 2 ABRIL Y JOSEFA ORTIZ, Veracruz, MX",19.17941,-96.13018,Exacta,188,Bajo,NO
"AV REVOLUCION 74 ENTRE ALLENDE Y ZAPATA, Veracruz, MX",19.53143,-96.92343,Baja,62,Alto,NO
"BOULEVARD BENITO JUAREZ Y CARR OJITLAN, Oaxaca, MX",18.07244,-96.13384,No confiable,NaN,Bajo,NO
"AVENIDA 5 DE MAYO Y MATAMOROS, Oaxaca, MX",18.08398,-96.12844,Alta,271,Bajo,NO
"AV.RUIZ CORTINES No 300, Veracruz, MX",18.24573,-96.13473,Exacta,224,Bajo,NO
"RAUL SANDOVAL No 30, Veracruz, MX",18.02349,-95.5295,Exacta,227,Bajo,NO
"AV QUINTANA ROO No 7, Oaxaca, MX",18.107,-95.88077,Exacta,1652,Bajo,NO
"ALVARO OBREGON S/N, Veracruz, MX",19.38127,-99.22303,Alta,280,Bajo,NO
"5 DE MAYO No 30, Veracruz, MX",20.40125,-97.33617,Exacta,1652,Bajo,NO
"5 DE MAYO No 806, Veracruz, MX",18.44821,-96.35867,Exacta,227,Bajo,NO
"AV DIAZ MIRON 277, Veracruz, MX",19.19157,-96.13534,Exacta,226,Bajo,NO
"Veracruz, MX",19.19535,-96.13683,Alta,100,Bajo,NO
"Veracruz, MX",19.19535,-96.13683,Alta,100,Bajo,NO
"CARR FED FORTIN-HUATUSCO 1617, Veracruz, MX",19.1501,-96.96014,Media,66,Moderado,NO
"CARR FED FORTIN-HUATUSCO 1617, Veracruz, MX",19.1501,-96.96014,Media,66,Moderado,NO
"CARR FED FORTIN-HUATUSCO 1617, Veracruz, MX",19.1501,-96.96014,Media,66,Moderado,NO
"CARR FED FORTIN-HUATUSCO 1617, Veracruz, MX",19.1501,-96.96014,Media,66,Moderado,NO
"CARR FED FORTIN-HUATUSCO 1617, Veracruz, MX",19.1501,-96.96014,Media,66,Moderado,NO
"CARR FED FORTIN-HUATUSCO 1617, Veracruz, MX",19.1501,-96.96014,Media,66,Moderado,NO
"CARR FED FORTIN-HUATUSCO 1617, Veracruz, MX",19.1501,-96.96014,Media,66,Moderado,NO
"CARR FED FORTIN-HUATUSCO 1617, Veracruz, MX",19.1501,-96.96014,Media,66,Moderado,NO
"CARR FED FORTIN-HUATUSCO 1617, Veracruz, MX",19.1501,-96.96014,Media,66,Moderado,NO
"CALLE REVOLUCION NORTE S/N ENTRE NICOLAS BRAVO Y J DE LA LUZ ENRIQUEZ, Veracruz, MX",18.6331,-95.52024,No confiable,NaN,Bajo,NO
"CALLE CD ISLA D UNIDAD 2 CENTRAL DE ABASTOS 2, Veracruz, MX",19.37625,-99.08349,Exacta,1619,Bajo,NO
"CALLE CD ISLA D UNIDAD 2 CENTRAL DE ABASTOS 2, Veracruz, MX",19.37625,-99.08349,Exacta,1619,Bajo,NO
"CALLE CD ISLA D UNIDAD 2 CENTRAL DE ABASTOS 2, Veracruz, MX",19.37625,-99.08349,Exacta,1619,Bajo,NO
"CALLE JOSE MARIA MORELOS No 37, Oaxaca, MX",17.13162,-96.75095,Exacta,1652,Bajo,NO
"CALLE 11 S/N ENTRE IGNACIO DE LA LLAVE Y BENITO JUAREZ, Oaxaca, MX",20.8849,-98.20553,Media,65,Moderado,NO
"CALLE FANCISCO SAUSA MINA No 101, Veracruz, MX",19.18967,-96.12503,No confiable,NaN,Bajo,NO
"CALLE FANCISCO SAUSA MINA No 101, Veracruz, MX",19.18967,-96.12503,No confiable,NaN,Bajo,NO
"AV FRANCISCO J MORENO No 30, Veracruz, MX",18.59667,-95.44696,Exacta,1652,Bajo,NO
"IGNACIO DE LA LLAVE No 35, Veracruz, MX",18.76924,-95.76097,Exacta,227,Bajo,NO
"CALLE PROLONGACION AQUILES SERDAN No 300 ENTRE OBRERO MUNDIAL Y MARTIRES DE CHIGACO, Veracruz, MX",18.45259,-96.35057,Exacta,1628,Bajo,NO
"HEROICO COLEGIO MILITAR ESQUINA CALLE INDEPENDENCIA No 701, Veracruz, MX",18.44802,-96.36093,Exacta,1645,Bajo,NO
"AV FRANCISCO I MADERO, Veracruz, MX",19.19768,-96.13972,Alta,280,Bajo,NO
"AV BENITO JUAREZ, Veracruz, MX",32.39287,-117.05542,Alta,280,Bajo,NO
"AV MIGUEL HIDALGO #3, Veracruz, MX",19.01111,-97.02932,Exacta,1652,Bajo,NO
"CALLE JOSE MARIA PINO SUAREZ S/N, Oaxaca, MX",17.06586,-96.71953,Alta,280,Bajo,NO
"3 AV NORTE ENTRE PASO DEL PALENQUE Y P LIMON, Chiapas, MX",17.5137,-91.98135,Exacta,229,Bajo,NO
"3 AV NORTE ENTRE PASO DEL PALENQUE Y P LIMON, Chiapas, MX",17.5137,-91.98135,Exacta,229,Bajo,NO
"3 AV NORTE ENTRE PASO DEL PALENQUE Y P LIMON, Chiapas, MX",17.5137,-91.98135,Exacta,229,Bajo,NO
"3 AV NORTE ENTRE PASO DEL PALENQUE Y P LIMON, Chiapas, MX",17.5137,-91.98135,Exacta,229,Bajo,NO
"3 AV NORTE ENTRE PASO DEL PALENQUE Y P LIMON, Chiapas, MX",17.5137,-91.98135,Exacta,229,Bajo,NO
"3 AV NORTE ENTRE PASO DEL PALENQUE Y P LIMON, Chiapas, MX",17.5137,-91.98135,Exacta,229,Bajo,NO
"3 AV NORTE ENTRE PASO DEL PALENQUE Y P LIMON, Chiapas, MX",17.5137,-91.98135,Exacta,229,Bajo,NO
"3 AV NORTE ENTRE PASO DEL PALENQUE Y P LIMON, Chiapas, MX",17.5137,-91.98135,Exacta,229,Bajo,NO
"3 AV NORTE ENTRE PASO DEL PALENQUE Y P LIMON, Chiapas, MX",17.5137,-91.98135,Exacta,229,Bajo,NO
"3 AV NORTE ENTRE PASO DEL PALENQUE Y P LIMON, Chiapas, MX",17.5137,-91.98135,Exacta,229,Bajo,NO
"3 AV NORTE ENTRE PASO DEL PALENQUE Y P LIMON, Chiapas, MX",17.5137,-91.98135,Exacta,229,Bajo,NO
"3 AV NORTE ENTRE PASO DEL PALENQUE Y P LIMON, Chiapas, MX",17.5137,-91.98135,Exacta,229,Bajo,NO
"3 AV NORTE ENTRE PASO DEL PALENQUE Y P LIMON, Chiapas, MX",17.5137,-91.98135,Exacta,229,Bajo,NO
"3 AV NORTE ENTRE PASO DEL PALENQUE Y P LIMON, Chiapas, MX",17.5137,-91.98135,Exacta,229,Bajo,NO
"PASEO JOSE NARCISO ROVIROSA S/N, ESQ. NIÑOS HEROES, Tabasco, MX",17.76324,-92.59832,Alta,260,Bajo,NO
"PRIMAVERA No 106, Tabasco, MX",17.98583,-92.93169,No confiable,NaN,Bajo,NO
"AV ALUMINIO 207 H A UN COSTADO DE OFICINAS DE SANCHEZ, Tabasco, MX",,,No georreferenciada,0,Critico,NO
"AV ALUMINIO 207 H A UN COSTADO DE OFICINAS DE SANCHEZ, Tabasco, MX",,,No georreferenciada,0,Critico,NO
"AV ALUMINIO 207 H A UN COSTADO DE OFICINAS DE SANCHEZ, Tabasco, MX",,,No georreferenciada,0,Critico,NO
"AV ALUMINIO 207 H A UN COSTADO DE OFICINAS DE SANCHEZ, Tabasco, MX",,,No georreferenciada,0,Critico,NO
"AV ALUMINIO 207 H A UN COSTADO DE OFICINAS DE SANCHEZ, Tabasco, MX",,,No georreferenciada,0,Critico,NO
"AV ALUMINIO NIO PROPORCIONARON DATOS, MX",,,No georreferenciada,0,Critico,NO
"AV ALUMINIO NIO PROPORCIONARON DATOS, MX",,,No georreferenciada,0,Critico,NO
"CALLE DEL SOLDADO ENTRE ESQUINA LERDO Y FRANCISCO I MADERO, Veracruz, MX",19.18923,-96.13784,Baja,61,Alto,NO
"CALLE FRANCISCO I MADERO S/N ENTRE 2 DE ABRIL Y ESQ FRANCISCO I MADERO, Veracruz, MX",19.19407,-96.13674,Exacta,230,Bajo,NO
"CEDROS KM 4 NO. 31-34-35 Y 36, Chiapas, MX",19.41351,-99.15639,No confiable,NaN,Bajo,NO
"AV COLON ORIENTE No 1922, Veracruz, MX",18.85387,-97.08796,Exacta,1652,Bajo,NO
"CALLE LA RIVERA No 100, Puebla, MX",20.26611,-97.96223,Exacta,1652,Bajo,NO
"CALLE VICENTE SUAREZ No 107, Puebla, MX",19.02321,-98.25057,Exacta,1652,Bajo,NO
"EMILIANO ZAPATA 9, Puebla, MX",19.04073,-98.15637,Exacta,227,Bajo,NO
"CALLE PALMA SOLA 13, Puebla, MX",19.0343,-98.1549,Exacta,1641,Bajo,NO
"6TA CALLE OTE ESQUINA CON 5TA PRIV SUR No 30, Chiapas, MX",14.90265,-92.26222,Exacta,1636,Bajo,NO
"6TA CALLE OTE ESQUINA CON 5TA PRIV SUR No 30, Chiapas, MX",14.90265,-92.26222,Exacta,1636,Bajo,NO
"AV CENTRAL SUR No 26 B, Chiapas, MX",16.31343,-91.98068,Exacta,1650,Bajo,NO
"5 DE MAYO No 58 ENTRE MIGUEL HIDALGO Y HOMBRES ILUSTRES, Veracruz, MX",21.33497,-97.68242,Exacta,225,Bajo,NO
"FRACCION DEL LOTE 28 MZ 825 CARR CUATITLAN-ZUMPANGO, Estado de México, MX",19.78155,-99.11033,No confiable,NaN,Bajo,NO
"FRACCION DEL LOTE 28 MZ 825 CARR CUATITLAN-ZUMPANGO, Estado de México, MX",19.78155,-99.11033,No confiable,NaN,Bajo,NO
"COLINAS DE VILLAHERMOSA CTO DEL GOLFO KM 12.5 CARR MACUSPANA, Tabasco, MX",17.99775,-92.91451,No confiable,NaN,Bajo,NO
"COLINAS DE VILLAHERMOSA CTO DEL GOLFO KM 12.5 CARR MACUSPANA, Tabasco, MX",17.99775,-92.91451,No confiable,NaN,Bajo,NO
"COLINAS DE VILLAHERMOSA CTO DEL GOLFO KM 12.5 CARR MACUSPANA, Tabasco, MX",17.99775,-92.91451,No confiable,NaN,Bajo,NO
"20 DE NOVIEMBRE ESQUINA FRANCISCO VILLA 209, Veracruz, MX",20.07499,-97.07236,Exacta,241,Bajo,NO
"20 DE NOVIEMBRE ESQUINA FRANCISCO VILLA 209, Veracruz, MX",20.07499,-97.07236,Exacta,241,Bajo,NO
"20 DE NOVIEMBRE ESQUINA FRANCISCO VILLA 209, Veracruz, MX",20.07499,-97.07236,Exacta,241,Bajo,NO
"20 DE NOVIEMBRE ESQUINA FRANCISCO VILLA 209, Veracruz, MX",20.07499,-97.07236,Exacta,241,Bajo,NO
"CALLE SALVADOR DIAZ MIRON S/N, Veracruz, MX",19.21179,-96.26936,Alta,280,Bajo,NO
"CALLE HERMANOS SERDAN No 3, Puebla, MX",18.98156,-98.25265,Exacta,1652,Bajo,NO
"CALLE HERMANOS SERDAN No 3, Puebla, MX",18.98156,-98.25265,Exacta,1652,Bajo,NO
"CALZADA VALLEJO No 980, Ciudad de México, MX",19.49524,-99.15456,Exacta,1652,Bajo,NO
