Movimiento,Fecha Emisión,Cliente,Nombre,Nombre Sucursal ,Almacén,Dirección,Observaciones,Delegación,Colonia,Código Postal,Población,Estado,Dirección Completa,Peso,Importe Total,Saldo,Referencia,Observaciones Horarios y/o citas,Ruta,Agente
Pedido 443077,13/3/2026,A02040,CORPORACION SANCHEZ,MERCADO,CISAALMA,PRIMAVERA No 106,VILLAHERMOSA CENTRO - CENTRO,Centro,Villahermosa Centro,86000,Villahermosa,Tabasco,"PRIMAVERA No 106,Centro,Villahermosa Centro,Villahermosa,Tabasco,86000",279,7862,7862,4502869076-MERCADO,,TABASCO,603
Pedido 444073,8/4/2026,A02040,CORPORACION SANCHEZ,BODEGA FENIX,CISAALMA,AV ALUMINIO 207 H A UN COSTADO DE OFICINAS DE SANCHEZ,CD INDUSTRIAL-VILLAHERMOSA,Centro,Ciudad Industrial,86010,Villahermosa,Tabasco,"AV ALUMINIO 207 H A UN COSTADO DE OFICINAS DE SANCHEZ,Centro,Ciudad Industrial,Villahermosa,Tabasco,86010",30000,809150,809150,4502917872-fenix,CITA: MIERCOLES 15/04/2026  9:00 PM,TABASCO,603
Pedido 444128,8/4/2026,A02040,CORPORACION SANCHEZ,BODEGA FENIX,CISAALMA,AV ALUMINIO 207 H A UN COSTADO DE OFICINAS DE SANCHEZ,CD INDUSTRIAL-VILLAHERMOSA,Centro,Ciudad Industrial,86010,Villahermosa,Tabasco,"AV ALUMINIO 207 H A UN COSTADO DE OFICINAS DE SANCHEZ,Centro,Ciudad Industrial,Villahermosa,Tabasco,86010","29841,4",904712,904712,4502917873-fenix,CITA JUEVES 16/04/2026   2:30 PM,TABASCO,603
Pedido 444165,8/4/2026,A02040,CORPORACION SANCHEZ,BODEGA FENIX,CISAALMA,AV ALUMINIO 207 H A UN COSTADO DE OFICINAS DE SANCHEZ,CD INDUSTRIAL-VILLAHERMOSA,Centro,Ciudad Industrial,86010,Villahermosa,Tabasco,"AV ALUMINIO 207 H A UN COSTADO DE OFICINAS DE SANCHEZ,Centro,Ciudad Industrial,Villahermosa,Tabasco,86010",29904,1061100,1061100,4502917874-fenix,CITA VIERNES  17/04/2026  2:30 PM,TABASCO,603
Pedido 444177,8/4/2026,A02040,CORPORACION SANCHEZ,BODEGA FENIX,CISAALMA,AV ALUMINIO 207 H A UN COSTADO DE OFICINAS DE SANCHEZ,CD INDUSTRIAL-VILLAHERMOSA,Centro,Ciudad Industrial,86010,Villahermosa,Tabasco,"AV ALUMINIO 207 H A UN COSTADO DE OFICINAS DE SANCHEZ,Centro,Ciudad Industrial,Villahermosa,Tabasco,86010",30300,800700,800700,4502917875-fenix,CITA: LUNES 20/04/2026   5:30 AM,TABASCO,603
Pedido 444178,8/4/2026,A02040,CORPORACION SANCHEZ,BODEGA FENIX,CISAALMA,AV ALUMINIO 207 H A UN COSTADO DE OFICINAS DE SANCHEZ,CD INDUSTRIAL-VILLAHERMOSA,Centro,Ciudad Industrial,86010,Villahermosa,Tabasco,"AV ALUMINIO 207 H A UN COSTADO DE OFICINAS DE SANCHEZ,Centro,Ciudad Industrial,Villahermosa,Tabasco,86010",30045,769680,769680,4502917876-fenix,CITA DOMINGO 19/04/2026  9:00 PM,TABASCO,603
Pedido 443852,30/3/2026,A02040,CORPORACION SANCHEZ,FENIX COPRERA,CISAALMA,AV ALUMINIO NIO PROPORCIONARON DATOS,,,,,,,"AV ALUMINIO NIO PROPORCIONARON DATOS,,,,,",65280,1004103,931583,4502860434-fenix-coprera,CITA:  VIERNES 24/04/2026  7:00 AM 2 TRAILER,TABASCO,603
Pedido 443892,31/3/2026,A02040,CORPORACION SANCHEZ,FENIX COPRERA,CISAALMA,AV ALUMINIO NIO PROPORCIONARON DATOS,,,,,,,"AV ALUMINIO NIO PROPORCIONARON DATOS,,,,,",52320,936528,399528,4502902588-fenix coprera,CITA JUEVES 16/04/2026  7:00 AM,TABASCO,603
Pedido 444109,8/4/2026,A02106,TIENDAS LORES,TIENDAS LORES (TIERRA BLANCA 4),CISAALMA,CALLE DEL SOLDADO ENTRE ESQUINA LERDO Y FRANCISCO I MADERO,CENTRO - TIERRA BLANCA,Tierra Blanca,Tierra Blanca Centro,95100,Tierra Blanca,Veracruz,"CALLE DEL SOLDADO ENTRE ESQUINA LERDO Y FRANCISCO I MADERO,Tierra Blanca,Tierra Blanca Centro,Tierra Blanca,Veracruz,95100","1643,58","36771,4",500, ,,,101
Pedido 444112,8/4/2026,A02270,TIENDAS LORES,TIENDAS LORES (CATEMACO),CISAALMA,CALLE FRANCISCO I MADERO S/N ENTRE 2 DE ABRIL Y ESQ FRANCISCO I MADERO,CENTRO - CATEMACO,Catemaco,Los Carriles,95870,Catemaco,Veracruz,"CALLE FRANCISCO I MADERO S/N ENTRE 2 DE ABRIL Y ESQ FRANCISCO I MADERO,Catemaco,Los Carriles,Catemaco,Veracruz,95870","1099,1",24996,500, ,,LOS TUXTLAS,101
Pedido 444315,10/4/2026,A02542,COMPAÑIA MAYORISTA DE ABARROTES,TAPACHULA,CISAALMA,CEDROS KM 4 NO. 31-34-35 Y 36,ELEKTRA - TAPACHULA,Tapachula,Elektra,30798,Tapachula de Córdova y Ordóñez,Chiapas,"CEDROS KM 4 NO. 31-34-35 Y 36,Tapachula,Elektra,Tapachula de Córdova y Ordóñez,Chiapas,30798",20720,533900,533900,218550 TAPACHULA,PENDIENTE CITA,YUCATAN,604
Pedido 444066,8/4/2026,A02549,HOGAR SANTA ISABEL PARA ANCIANOS DESAMPARADOS,HOGAR SANTA ISABEL PARA ANCIANOS DESAMPARADOS INSTITUCION DE BENEFICENCIA PRIVADA,CISAALMA,AV COLON ORIENTE No 1922,CENTRO - ORIZABA,Orizaba,Orizaba Centro,94300,Orizaba,Veracruz,"AV COLON ORIENTE No 1922,Orizaba,Orizaba Centro,Orizaba,Veracruz,94300",49,950,950,*DONATIVO.,,ORIZABA,101
Pedido 444196,8/4/2026,A02598,HU-GAR AUTOSERVICIOS,HUGAR LA RIVERA,CISAALMA,CALLE LA RIVERA No 100,LA RIVERA - XICOTEPEC DE JUAREZ,Xicotepec,La Rivera,73080,Xicotepec,Puebla,"CALLE LA RIVERA No 100,Xicotepec,La Rivera,Xicotepec,Puebla,73080","433,8",9498,9498,,,VERACRUZ NORTE,172
Pedido 444197,8/4/2026,A02598,HU-GAR AUTOSERVICIOS,HUGAR CENTRO,CISAALMA,CALLE VICENTE SUAREZ No 107,CENTRO - XICOTEPEC DE JUAREZ,Xicotepec,Duraznotla,73080,Xicotepec,Puebla,"CALLE VICENTE SUAREZ No 107,Xicotepec,Duraznotla,Xicotepec,Puebla,73080",150,2900,2900,,,VERACRUZ NORTE,172
Pedido 444198,8/4/2026,A02598,HU-GAR AUTOSERVICIOS,HU GAR AUTOSERVICIOS LA CEIBA,CISAALMA,EMILIANO ZAPATA 9,CENTRO-VILLA AVILA CAMACHO,Xicotepec,Villa Avila Camacho (La Ceiba),73090,,Puebla,"EMILIANO ZAPATA 9,Xicotepec,Villa Avila Camacho (La Ceiba),,Puebla,73090",223,4640,4640,,,VERACRUZ NORTE,172
Pedido 444199,8/4/2026,A02598,HU-GAR AUTOSERVICIOS,HUGAR NUEVA,CISAALMA,CALLE PALMA SOLA 13,CENTRO-VILLA LAZARO CARDENAS,Venustiano Carranza,Villa Lázaro Cárdenas (La Uno),73049,,Puebla,"CALLE PALMA SOLA 13,Venustiano Carranza,Villa Lázaro Cárdenas (La Uno),,Puebla,73049",139,2880,2880,ENTREGAR VILLA LAZARO CARDENAS PUEBLA,,VERACRUZ NORTE,172
Pedido 444052,8/4/2026,A02607,OMAR CRUZ JULIAN,OMAR CRUZ JULIAN,CISAALMA,6TA CALLE OTE ESQUINA CON 5TA PRIV SUR No 30,CENTRO - TAPACHULA,Tapachula,Tapachula Centro,30700,Tapachula de Córdova y Ordóñez,Chiapas,"6TA CALLE OTE ESQUINA CON 5TA PRIV SUR No 30,Tapachula,Tapachula Centro,Tapachula de Córdova y Ordóñez,Chiapas,30700","1645,91","48121,06","48121,06",,,CHIAPAS  COSTA,131
Pedido 444053,8/4/2026,A02607,OMAR CRUZ JULIAN,OMAR CRUZ JULIAN,CISAALMA,6TA CALLE OTE ESQUINA CON 5TA PRIV SUR No 30,CENTRO - TAPACHULA,Tapachula,Tapachula Centro,30700,Tapachula de Córdova y Ordóñez,Chiapas,"6TA CALLE OTE ESQUINA CON 5TA PRIV SUR No 30,Tapachula,Tapachula Centro,Tapachula de Córdova y Ordóñez,Chiapas,30700","122,4",7704,7704,,,CHIAPAS  COSTA,131
Pedido 444051,8/4/2026,A02626,SUPER ABARROTES CASTILLEJOS,ABARROTES CASTILLEJOS,CISAALMA,AV CENTRAL SUR No 26 B,CENTRO - SAN FERNANDO,San Fernando,Paraíso,29120,,Chiapas,"AV CENTRAL SUR No 26 B,San Fernando,Paraíso,,Chiapas,29120","4627,2",77665,77665,,RECOBO DE 10:00 AM A4:00 PM,CHIAPAS CENTRO,249
Pedido 444116,8/4/2026,A02870,TIENDAS LORES,TIENDAS LORES (EMILIO CARRANZA),CISAALMA,5 DE MAYO No 58 ENTRE MIGUEL HIDALGO Y HOMBRES ILUSTRES,CENTRO - VEGA DE ALATORRE,Vega de Alatorre,Vega de Alatorre,93960,,Veracruz,"5 DE MAYO No 58 ENTRE MIGUEL HIDALGO Y HOMBRES ILUSTRES,Vega de Alatorre,Vega de Alatorre,,Veracruz,93960","212,8",5521,500, ,,VERACRUZ PUERTO,101
Pedido 444311,10/4/2026,A02878,TIENDAS CHEDRAUI,TEOLOYUCAN (0402),CISAALMA,FRACCION DEL LOTE 28 MZ 825 CARR CUATITLAN-ZUMPANGO,HACIENDA BEATRIZ - TEOLOYUCAN,Teoloyucan,Hacienda Beatriz,54770,,Estado de México,"FRACCION DEL LOTE 28 MZ 825 CARR CUATITLAN-ZUMPANGO,Teoloyucan,Hacienda Beatriz,,Estado de México,54770",13671,"252305,9","252305,9",OC 7503945587 CEDIS MEXICO,,EDO MEXICO,101
Pedido 444312,10/4/2026,A02878,TIENDAS CHEDRAUI,TEOLOYUCAN (0402),CISAALMA,FRACCION DEL LOTE 28 MZ 825 CARR CUATITLAN-ZUMPANGO,HACIENDA BEATRIZ - TEOLOYUCAN,Teoloyucan,Hacienda Beatriz,54770,,Estado de México,"FRACCION DEL LOTE 28 MZ 825 CARR CUATITLAN-ZUMPANGO,Teoloyucan,Hacienda Beatriz,,Estado de México,54770",621,18799,18799,OC 7503946007 CEDIS MEXICO,,EDO MEXICO,101
Pedido 444307,10/4/2026,A02878,TIENDAS CHEDRAUI,VILLAHERMOSA (0403),CISAALMA,COLINAS DE VILLAHERMOSA CTO DEL GOLFO KM 12.5 CARR MACUSPANA,HACIENDA CASA BLANCA - CENTRO,Centro,Hacienda Casa Blanca,86280,,Tabasco,"COLINAS DE VILLAHERMOSA CTO DEL GOLFO KM 12.5 CARR MACUSPANA,Centro,Hacienda Casa Blanca,,Tabasco,86280",4671,"86205,9","86205,9",OC 7503945588 CEDIS VILLAHERMOSA,,EDO MEXICO,101
Pedido 444308,10/4/2026,A02878,TIENDAS CHEDRAUI,VILLAHERMOSA (0403),CISAALMA,COLINAS DE VILLAHERMOSA CTO DEL GOLFO KM 12.5 CARR MACUSPANA,HACIENDA CASA BLANCA - CENTRO,Centro,Hacienda Casa Blanca,86280,,Tabasco,"COLINAS DE VILLAHERMOSA CTO DEL GOLFO KM 12.5 CARR MACUSPANA,Centro,Hacienda Casa Blanca,,Tabasco,86280",2592,77580,77580,OC 7037149199 CEDIS VILLAHERMOSA,,EDO MEXICO,101
Pedido 444309,10/4/2026,A02878,TIENDAS CHEDRAUI,VILLAHERMOSA (0403),CISAALMA,COLINAS DE VILLAHERMOSA CTO DEL GOLFO KM 12.5 CARR MACUSPANA,HACIENDA CASA BLANCA - CENTRO,Centro,Hacienda Casa Blanca,86280,,Tabasco,"COLINAS DE VILLAHERMOSA CTO DEL GOLFO KM 12.5 CARR MACUSPANA,Centro,Hacienda Casa Blanca,,Tabasco,86280",27000,498300,498300,OC 7503945588 CEDIS VILLAHERMOSA,20 TARIMAS,EDO MEXICO,101
Pedido 443941,2/4/2026,A03104,MARICELA ABARROTES,MARICELA ABARROTES,CISAALMA,20 DE NOVIEMBRE ESQUINA FRANCISCO VILLA 209,LAS TINAS - JALTIPAN DE MORELOS,Jáltipan,Las Tinas,96220,Jáltipan de Morelos,Veracruz,"20 DE NOVIEMBRE ESQUINA FRANCISCO VILLA 209,Jáltipan,Las Tinas,Jáltipan de Morelos,Veracruz,96220","2311,4",48691,48691,,RECIBO DE 8:00 AM A 6:00 PM,,226
Pedido 443942,2/4/2026,A03104,MARICELA ABARROTES,MARICELA ABARROTES,CISAALMA,20 DE NOVIEMBRE ESQUINA FRANCISCO VILLA 209,LAS TINAS - JALTIPAN DE MORELOS,Jáltipan,Las Tinas,96220,Jáltipan de Morelos,Veracruz,"20 DE NOVIEMBRE ESQUINA FRANCISCO VILLA 209,Jáltipan,Las Tinas,Jáltipan de Morelos,Veracruz,96220",1419,33117,33117,,RECIBO DE 8:00 AM A 6:00 PM,,226
Pedido 443943,2/4/2026,A03104,MARICELA ABARROTES,MARICELA ABARROTES,CISAALMA,20 DE NOVIEMBRE ESQUINA FRANCISCO VILLA 209,LAS TINAS - JALTIPAN DE MORELOS,Jáltipan,Las Tinas,96220,Jáltipan de Morelos,Veracruz,"20 DE NOVIEMBRE ESQUINA FRANCISCO VILLA 209,Jáltipan,Las Tinas,Jáltipan de Morelos,Veracruz,96220",22,783,783,promo 10% x cada 20 kg,RECIBO DE 8:00 AM A 6:00 PM,,226
Pedido 443944,2/4/2026,A03104,MARICELA ABARROTES,MARICELA ABARROTES,CISAALMA,20 DE NOVIEMBRE ESQUINA FRANCISCO VILLA 209,LAS TINAS - JALTIPAN DE MORELOS,Jáltipan,Las Tinas,96220,Jáltipan de Morelos,Veracruz,"20 DE NOVIEMBRE ESQUINA FRANCISCO VILLA 209,Jáltipan,Las Tinas,Jáltipan de Morelos,Veracruz,96220",44,"1824,68","1824,68",promo 10% x cada 10 bulto de 2 kg,RECIBO DE 8:00 AM A 6:00 PM,,226
Pedido 444120,8/4/2026,A03189,TIENDAS LORES,TIENDAS LORES (LOS NARANJOS),CISAALMA,CALLE SALVADOR DIAZ MIRON S/N,CENTRO - TRES VALLES,Tres Valles,Los Naranjos,95360,,Veracruz,"CALLE SALVADOR DIAZ MIRON S/N,Tres Valles,Los Naranjos,,Veracruz,95360","1050,8",22721,186, ,,TIERRA BLANCA,101
Pedido 444190,8/4/2026,A03195,GILBERTO SUAREZ ISLAS,GILBERTO SUAREZ ISLAS,CISAALMA,CALLE HERMANOS SERDAN No 3,CENTRO - VENUSTIANO CARRANZA,Venustiano Carranza,Venustiano Carranza,73040,,Puebla,"CALLE HERMANOS SERDAN No 3,Venustiano Carranza,Venustiano Carranza,,Puebla,73040",1250,22000,22000,ENTREGAR EN VILLA LAZARO CARDENAS PUEBLA N 74 CENT,,,172
Pedido 444191,8/4/2026,A03195,GILBERTO SUAREZ ISLAS,GILBERTO SUAREZ ISLAS,CISAALMA,CALLE HERMANOS SERDAN No 3,CENTRO - VENUSTIANO CARRANZA,Venustiano Carranza,Venustiano Carranza,73040,,Puebla,"CALLE HERMANOS SERDAN No 3,Venustiano Carranza,Venustiano Carranza,,Puebla,73040",3750,66000,66000,ENTREGAR EN VENUSTIANO CARRANZA PUEBLA,,,172
Pedido 444023,7/4/2026,A03219,COMERCIAL CITY FRESKO,CEDIS SECOS VALLEJO (280),CISAALMA,CALZADA VALLEJO No 980,INDUSTRIAL VALLEJO - AZCAPOTZALCO,Azcapotzalco,Industrial Vallejo,02300,Ciudad de México,Ciudad de México,"CALZADA VALLEJO No 980,Azcapotzalco,Industrial Vallejo,Ciudad de México,Ciudad de México,02300","990,0198","23740,2","23740,2",OC 26300984805 CEDIS VALLEJO,,EDO MEXICO,101
Pedido 444246,9/4/2026,A03244,ALMACENES EL TRIGO DORADO,ALMACENES EL TRIGO DORADO,CISAALMA,CARRETERA RIO SECO-SANTA ROSA,RIO SECO-CARDENAS,Cárdenas,Melchor Ocampo 2a Secc,86470,,Tabasco,"CARRETERA RIO SECO-SANTA ROSA,Cárdenas,Melchor Ocampo 2a Secc,,Tabasco,86470",6250,128125,128125,,RECIBO DE 8:00 AM A 4:00 PM,,200
Pedido 444122,8/4/2026,A03314,TIENDAS LORES,TIENDAS LORES (CARLOS A CARRILLO),CISAALMA,CALLE ARGENTINA S/N,CENTRO - CARLOS A CARILLO,Carlos A. Carrillo,Carlos A Carrillo Centro,95330,Carlos A. Carrillo,Veracruz,"CALLE ARGENTINA S/N,Carlos A. Carrillo,Carlos A Carrillo Centro,Carlos A. Carrillo,Veracruz,95330","1536,18","34200,4",500, ,,COSAMALOAPAN,101
Pedido 444121,8/4/2026,A03315,TIENDAS LORES,TIENDAS LORES (ALTO LUCERO),CISAALMA,CALLE ANTONIO SOSA No 35,CENTRO - ALTO LUCERO DE GUTIERREZ BARRIOS,Alto Lucero de Gutiérrez Barrios,Rancho Nuevo,91477,,Veracruz,"CALLE ANTONIO SOSA No 35,Alto Lucero de Gutiérrez Barrios,Rancho Nuevo,,Veracruz,91477",381,9262,500, ,,VERACRUZ PUERTO,101
Pedido 444249,9/4/2026,A03353,SUPER OUI DE SAN RAFAEL,SUPER OUI DE SAN RAFEL SA DE CV,CISAALMA,CALLE REVOLUCION No 108,CENTRO - SAN RAFAEL,San Rafael,San Rafael,93620,San Rafael,Veracruz,"CALLE REVOLUCION No 108,San Rafael,San Rafael,San Rafael,Veracruz,93620",256,5700,5700,,RECIBO DE 8:00 AM A 4:00 PM,,266
Pedido 444126,8/4/2026,A03406,TIENDAS LORES,TIENDAS LORES (RINCONADA),CISAALMA,AV INDEPENDENCIA No 236,CENTRO - RINCONADA,Emiliano Zapata,El Tepeyac,91634,,Veracruz,"AV INDEPENDENCIA No 236,Emiliano Zapata,El Tepeyac,,Veracruz,91634","944,2",20891,500, ,,VERACRUZ PUERTO,101
Pedido 443955,5/4/2026,A03407,JOAQUIN TRINIDAD JUAREZ ALVAREZ,JOAQUIN  TRINIDAD JUAREZ,CISAALMA,CARRETERA 195 TAPILULA PICHUCALCO,CENTRO - TAPILULA,Tapilula,Tapilula,29730,,Chiapas,"CARRETERA 195 TAPILULA PICHUCALCO,Tapilula,Tapilula,,Chiapas,29730",3360,91100,91100,,RECIBO DE 8:00 AM A 3:00 PM,,200
Pedido 444127,8/4/2026,A03479,TIENDAS LORES,TIENDAS LORES (TUXTEPEC JARDINES),CISAALMA,CARRETERA FEDERAL A OJITLAN 1,JARDINES DEL ARROYO - SAN JUAN BAUTISTA TUXTEPEC,San Juan Bautista Tuxtepec,Jardines del Arroyo,68340,San Juan Bautista Tuxtepec,Oaxaca,"CARRETERA FEDERAL A OJITLAN 1,San Juan Bautista Tuxtepec,Jardines del Arroyo,San Juan Bautista Tuxtepec,Oaxaca,68340","2348,3",52183,1242, ,,TUXTEPEC,101
Pedido 443442,23/3/2026,A03615,MERCADO TEPEACA,MERCADO TEPEACA SA DE CV,CISAALMA,CALLE MAXIMINO AVILA CAMACHO 101,EL SANTUARIO - TEPEACA,Tepeaca,San Miguel,75200,Tepeaca,Puebla,"CALLE MAXIMINO AVILA CAMACHO 101,Tepeaca,San Miguel,Tepeaca,Puebla,75200","2152,8",52508,52508,,,CIUDAD DE MÉXICO,253
Pedido 444129,8/4/2026,A03623,TIENDAS LORES,TIENDAS LORES (HACIENDA REAL),CISAALMA,BOULEVARD HACIENDA REAL LOTE 3 MZA 67,HACIENDA REAL - SAN JUAN BAUTISTA TUXTEPEC,San Juan Bautista Tuxtepec,5 de Febrero,68375,San Juan Bautista Tuxtepec,Oaxaca,"BOULEVARD HACIENDA REAL LOTE 3 MZA 67,San Juan Bautista Tuxtepec,5 de Febrero,San Juan Bautista Tuxtepec,Oaxaca,68375","792,4",17916,500, ,,TUXTEPEC,101
Pedido 444132,8/4/2026,A03702,TIENDAS LORES,TIENDAS LORES (ACATLAN DE PEREZ FIGUEROA),CISAALMA,CALLE FRANCISCO JAVIER MINA 156,CENTRO - ACATLAN DE PEREZ FIGUEROA,Acatlán de Pérez Figueroa,Luces de la Revolución,68420,,Oaxaca,"CALLE FRANCISCO JAVIER MINA 156,Acatlán de Pérez Figueroa,Luces de la Revolución,,Oaxaca,68420","1197,28","27767,4",500, ,,,101
Pedido 444069,8/4/2026,A03715,RESIDENCIA EMAUS,RESIDENCIA EMAUS,CISAALMA,CALZADA EMAUS 4609,PUEBLO QUIETO CORDOBA,Córdoba,Pueblo Quieto,94557,Córdoba,Veracruz,"CALZADA EMAUS 4609,Córdoba,Pueblo Quieto,Córdoba,Veracruz,94557",49,915,915,*DONATIVO.,,,101
Pedido 444133,8/4/2026,A03792,TIENDAS LORES,TIENDAS LORES (OMEALCA),CISAALMA,"AVENIDA ZARAGOZA ZONA 06, REGION 01 MZA 021 LOTE 026",CENTRO - OMEALCA,Omealca,Las Palmas,94900,,Veracruz,"AVENIDA ZARAGOZA ZONA 06, REGION 01 MZA 021 LOTE 026,Omealca,Las Palmas,,Veracruz,94900","214,6",5313,500, ,,,101
Pedido 443921,1/4/2026,A03823,ARTURO ANTONINO HERNANDEZ ALCANTARA,ARTURO ANTONINO HERNANDEZ ALCANTARA,CISAALMA,AVENIDA ORIENTE 9 #476 ENTRE NORTE 8 Y NORTE 10,CENTRO ORIZABA,Orizaba,Orizaba Centro,94300,Orizaba,Veracruz,"AVENIDA ORIENTE 9 #476 ENTRE NORTE 8 Y NORTE 10,Orizaba,Orizaba Centro,Orizaba,Veracruz,94300",1800,36000,7200,*TARJETA.,,,154
Pedido 444250,9/4/2026,A03825,ABASTECEDORA LA UNICA AJGE,ABASTESEDORA LA UNICA,CISAALMA,CALLE 12 DE OCTUBRE No 42,CENTRO - VILLA LAZARO CARDENAS,Venustiano Carranza,Villa Lázaro Cárdenas,73049,,Puebla,"CALLE 12 DE OCTUBRE No 42,Venustiano Carranza,Villa Lázaro Cárdenas,,Puebla,73049",3260,"59922,16","59922,16",,,,172
Pedido 444251,9/4/2026,A03825,ABASTECEDORA LA UNICA AJGE,ABASTESEDORA LA UNICA,CISAALMA,CALLE 12 DE OCTUBRE No 42,CENTRO - VILLA LAZARO CARDENAS,Venustiano Carranza,Villa Lázaro Cárdenas,73049,,Puebla,"CALLE 12 DE OCTUBRE No 42,Venustiano Carranza,Villa Lázaro Cárdenas,,Puebla,73049",4,"136,416","136,416",DOS BULTOS SIN CARGO DE DOS KILOS 20 EN 1 DE 2 KIL,,,172
Pedido 444313,10/4/2026,A03969,ECONOSUPER DEL CENTRO,ECONO SUPER DEL CENTRO,CISAALMA,CALLE REFORMA No 113,CENTRO - XICOTEPEC DE JUAREZ,Xicotepec,Duraznotla,73080,Xicotepec,Puebla,"CALLE REFORMA No 113,Xicotepec,Duraznotla,Xicotepec,Puebla,73080",294,"6931,648","6931,648",,,,172
Pedido 444200,8/4/2026,A03969,ECONOSUPER DEL CENTRO,ECONO SUPER DEL CENTRO,CISAALMA,CALLE REFORMA No 113,CENTRO - XICOTEPEC DE JUAREZ,Xicotepec,Duraznotla,73080,Xicotepec,Puebla,"CALLE REFORMA No 113,Xicotepec,Duraznotla,Xicotepec,Puebla,73080",3195,70491,70491,,,,172
Pedido 444140,8/4/2026,A04072,TIENDAS LORES,TIENDAS LORES (ANTON LIZARDO),CISAALMA,CALLE 5 DE MAYO No 3-B,CENTRO - ANTON LIZARDO,Alvarado,Instituto Oceanográfico Del Golfo y Mar Caribe,95269,,Veracruz,"CALLE 5 DE MAYO No 3-B,Alvarado,Instituto Oceanográfico Del Golfo y Mar Caribe,,Veracruz,95269","242,36","6944,2",500, ,,,101
Pedido 444299,10/4/2026,A04214,MAYCOT ALVAREZ WADE,MAYCOT ALVAREZ WADE,CISAALMA,CARR. TEAPA PICHUCALCO KM. 2 SN,MARIANO ABASOLO-TEAPA,Teapa,El Guanal,86805,,Tabasco,"CARR. TEAPA PICHUCALCO KM. 2 SN,Teapa,El Guanal,,Tabasco,86805",3000,45900,45900,,RECIBO DE 8:00 AM A 3:00 PM,TABASCO,200
Pedido 444142,8/4/2026,A04220,TIENDAS LORES,TIENDAS LORES (TLACOTALPAN),CISAALMA,AV VENUSTIANO CARRANZA ESQ CALLE MIGUEL NEGRETE No 21,TLACOTALPAN - VERACRUZ,Tlacotalpan,Tlacotalpan,95460,,Veracruz,"AV VENUSTIANO CARRANZA ESQ CALLE MIGUEL NEGRETE No 21,Tlacotalpan,Tlacotalpan,,Veracruz,95460","2348,8",51511,500, ,,,101
Pedido 444143,8/4/2026,A04264,TIENDAS LORES,TIENDAS LORES (TRES VALLES SEGURO SOCIAL),CISAALMA,BLVD ALVARO OBREGON,3 VALLES CENTRO - TRES VALLES,Tres Valles,3 Valles Centro,95300,Tres Valles,Veracruz,"BLVD ALVARO OBREGON,Tres Valles,3 Valles Centro,Tres Valles,Veracruz,95300","2305,38","51321,8",1428, ,,TIERRA BLANCA,101
Pedido 444144,8/4/2026,A04299,TIENDAS LORES,TIENDAS LORES (OTATITLAN),CISAALMA,CALLE SALVADOR DIAZ MIRON NUM 4,CENTRO - VERACRUZ,Otatitlán,Otatitlan,95500,,Veracruz,"CALLE SALVADOR DIAZ MIRON NUM 4,Otatitlán,Otatitlan,,Veracruz,95500",519,12214,500, ,,,101
Pedido 443981,6/4/2026,A04336,UBALDO ROBLERO BRAVO (REM),UBALDO ROBLERO BRAVO,CISAALMA,CALLE CEDRO POR EL LETRERO DEL SAPITO No 814,CENTRO - CARDENAS,Cárdenas,Cárdenas Centro,86500,Cárdenas,Tabasco,"CALLE CEDRO POR EL LETRERO DEL SAPITO No 814,Cárdenas,Cárdenas Centro,Cárdenas,Tabasco,86500",18000,333000,333000,,entregar remision a la vendedora----RECIBO DE 8:00 AM A 3:00 PM,TABASCO,200
Pedido 444145,8/4/2026,A04337,TIENDAS LORES,TIENDAS LORES (OASIS),CISAALMA,CALLE PASEO OASIS No 485,OASIS - VERACRUZ,Veracruz,Oasis,91808,Veracruz,Veracruz,"CALLE PASEO OASIS No 485,Veracruz,Oasis,Veracruz,Veracruz,91808","319,78","8114,8",500, ,,VERACRUZ NORTE,101
Pedido 443720,27/3/2026,A04340,ROBERT MARIN ULBARAN GONZALEZ,ROBERT MARIN ULBARAN GONZALEZ,CISAALMA,CARRETERA CARDENAS COATZACOALCOS KM CP8,CARRETERA CARDENAS COATZACOALCOS KM CP8,Huimanguillo,Zapotal 4ta Sección (Zapotalito),86414,,Tabasco,"CARRETERA CARDENAS COATZACOALCOS KM CP8,Huimanguillo,Zapotal 4ta Sección (Zapotalito),,Tabasco,86414",5400,104718,104718,,RECIBO DE 8:00 AM A 5:00 PM,TABASCO,200
Pedido 443995,6/4/2026,A04342,EDUARDO ALONSO GARCIA VIVEROS,EDUARDO ALONSO GARCIA VIVEROS,CISAALMA,CALLE 4 No. 103 C,FORTÍN DE LAS FLORES CENTRO - FORTÍN,Fortín,Fortín de las Flores Centro,94470,Fortín de las Flores,Veracruz,"CALLE 4 No. 103 C,Fortín,Fortín de las Flores Centro,Fortín de las Flores,Veracruz,94470",300,4550,3990,*cte recoge.,,CORDOBA,154
Pedido 443920,1/4/2026,A04342,EDUARDO ALONSO GARCIA VIVEROS,EDUARDO ALONSO GARCIA VIVEROS,CISAALMA,CALLE 4 No. 103 C,FORTÍN DE LAS FLORES CENTRO - FORTÍN,Fortín,Fortín de las Flores Centro,94470,Fortín de las Flores,Veracruz,"CALLE 4 No. 103 C,Fortín,Fortín de las Flores Centro,Fortín de las Flores,Veracruz,94470",300,4525,4525,*cte recoge.,,CORDOBA,154
