Empresa,EmbarqueMov,EmbarqueMovID,FechaEmision,Mes,Año,Vehiculo,Ruta,Peso (KG),Paquetes,Importe,EmbarqueMovMov,EmbarqueMovMovID,Articulo,Cantidad,PesoArticulo,Peso2,Cliente,Direccion,Latitud,Longitud,latLong,EmbarqueMovPeso,Categoria,Dias Viaje,Gasto Total,Valida peso (tn),Tipo,Propio / Perm.,Capacidad,Skill
ABC,Embarque,71466,07/01/2026,1,2026,CAM GE2,TIERRA BLANCA,11887.26,1107,290483,,FA570533,ABC,35,9,315,Tiendas Lores Tierra Blanca,Independencia,18.45,-96.35,"18.45,-96.35",2754.8,ZONA A,#N/A,#N/A,#N/A,#N/A,#N/A,0,normal
ABC,Embarque,71460,07/01/2026,1,2026,CAM CRA,COSAMALOAPAN,17734.24,1809,430638.2,,FA570407,ABC,13,24,312,Súper Sánchez Centro,Hidalgo,18.363,-95.798,"18.363,-95.798",1135.9,ZONA A,#N/A,#N/A,#N/A,#N/A,#N/A,0,convoy_10am
ABC,Embarque,71462,07/01/2026,1,2026,C-08,TEZONAPA,8303.25,827,200746.7,,FA570421,ABC,13,24,312,Bodega Central Granos,Cerca del Ingenio,18.605,-96.765,"18.605,-96.765",3393.9,ZONA A,#N/A,#N/A,#N/A,#N/A,#N/A,18000,normal
ABC,Embarque,71463,07/01/2026,1,2026,CAM JAOH,LOS TUXTLAS,16159.68,1269,370491.7,,FA570441,ABC,34,9,306,Súper Sánchez Santiago,Juarez Santiago T.,18.46,-95.304,"18.46,-95.304",2628,ZONA A,#N/A,#N/A,#N/A,#N/A,#N/A,0,normal
ABC,Embarque,71456,07/01/2026,1,2026,C-04,YUCATAN,18758.61,20722,564830.71,,FA570275,ABC,10,30,300,Central de Abastos Mérida,Av. Jacinto Canek,20.9634,-89.6645,"20.9634,-89.6645",1030.84,ZONA B,#N/A,#N/A,#N/A,#N/A,#N/A,18000,normal
ABC,Embarque,71467,07/01/2026,1,2026,C-13,LOMA,16783.64,1459,389268.4,,FA570542,ABC,30,10,300,Distribuidora Piñera,Hidalgo,18.109,-95.879,"18.109,-95.879",3839.56,ZONA B,#N/A,#N/A,#N/A,#N/A,#N/A,18000,convoy_10am
ABC,Embarque,71464,07/01/2026,1,2026,CAM ADA,TUXTEPEC,16714.38,3272,392899.2,,FA570457,ABC,30,10,300,Súper Sánchez 5 de Mayo,Av. 5 de Mayo,18.085,-96.125,"18.085,-96.125",1191,ZONA B,#N/A,#N/A,#N/A,#N/A,#N/A,0,normal
ABC,Embarque,71464,07/01/2026,1,2026,CAM ADA,TUXTEPEC,16714.38,3272,392899.2,,FA570453,ABC,30,10,300,Súper Sánchez Libertad,Av. Libertad,18.084,-96.126,"18.084,-96.126",955.6,ZONA B,#N/A,#N/A,#N/A,#N/A,#N/A,0,normal
ABC,Embarque,71465,07/01/2026,1,2026,C-03B,TUXTEPEC - VALLE NACIONAL,14295.86,1322,340865.6,,FA570496,ABC,30,10,300,Distribuidora La Sierra,Entrada a Valle Nacional,17.78,-96.32,"17.78,-96.32",1024.6,ZONA B,#N/A,#N/A,#N/A,#N/A,#N/A,18000,convoy_10am
ABC,Embarque,71455,07/01/2026,1,2026,C-22B,MEXICO,4461.59,6082,132932.4,,FA570251,ABC,12.00024,24.3,291.61,Central de Abasto CDMX (Zona Abarrotes),Iztapalapa CDMX,19.374,-99.093,"19.374,-99.093",813.38,ZONA B,#N/A,#N/A,#N/A,#N/A,#N/A,6000,normal
